"transcription_factor","target_gene"
"AR","FADS2"
"AR","FBP2"
"AR","FCER1A"
"AR","FGB"
"AR","FGF13"
"AR","FGF2"
"AR","FGF8"
"AR","FGFBP1"
"AR","FGFR1"
"AR","FHL2"
"AR","FOXA1"
"AR","GADD45A"
"AR","GADD45B"
"AR","GADD45G"
"AR","GATA3"
"AR","GCK"
"AR","GDEP"
"AR","GOT1"
"AR","GSTP1"
"AR","GTF2F1"
"AR","H3F3A"
"AR","HES1"
"AR","HMGCS1"
"AR","HMGCS2"
"AR","HNF1A"
"AR","HNF1B"
"AR","HOXA1"
"AR","HOXA4"
"AR","HOXA7"
"AR","HOXB4"
"AR","HOXC8"
"AR","HOXD4"
"AR","HSD11B1"
"AR","HSD17B1"
"AR","IBSP"
"AR","ICAM1"
"AR","IFNAR1"
"AR","IGFBP5"
"AR","IL6ST"
"AR","IL8"
"AR","INS"
"AR","IRAK2"
"AR","JUN"
"AR","KAT5"
"AR","KAT7"
"AR","KCNH4"
"AR","KCNH8"
"AR","KHSRP"
"AR","KLF5"
"AR","KLK14"
"AR","KLK15"
"AR","KLK2"
"AR","KLKB1"
"AR","KRT19"
"AR","LCP1"
"AR","LIPA"
"AR","LIPE"
"AR","LPL"
"AR","MAP4K2"
"AR","MED1"
"AR","MIF"
"AR","MMP9"
"AR","MUC1"
"AR","MUC4"
"AR","MUC5AC"
"AR","MYB"
"AR","MYC"
"AR","MYCN"
"AR","MYH6"
"AR","NCOA1"
"AR","NCOA2"
"AR","NCOA3"
"AR","NCOA4"
"AR","NCOA6"
"AR","NCOR1"
"AR","NCOR2"
"AR","NEDD9"
"AR","NFKBIA"
"AR","NKX2-1"
"AR","NOL3"
"AR","NOX1"
"AR","NR1D1"
"AR","NR1H3"
"AR","NRIP1"
"AR","NUDT6"
"AR","PCK1"
"AR","PDHA1"
"AR","PGC"
"AR","PIGR"
"AR","PKD1"
"AR","PLAT"
"AR","PLAU"
"AR","PML"
"AR","PNRC1"
"AR","POU1F1"
"AR","POU2F1"
"AR","POU5F1"
"AR","PPARG"
"AR","PPARGC1A"
"AR","PPBP"
"AR","PPP2R2C"
"AR","PRKCA"
"AR","PTGER2"
"AR","PTGS1"
"AR","PTGS2"
"AR","PTHLH"
"AR","RARA"
"AR","RARB"
"AR","RARG"
"AR","RARRES3"
"AR","RELA"
"AR","RETN"
"AR","RNF4"
"AR","IL2"
"AR","S100A8"
"AR","S100A9"
"AR","SAT1"
"AR","SCARB1"
"AR","SCD"
"AR","SCGB1D1"
"AR","SEMA6B"
"AR","SERPINE1"
"AR","SERPINF1"
"AR","SFTPB"
"AR","SLC10A2"
"AR","SLC5A5"
"AR","SMAD3"
"AR","SMARCA1"
"AR","SMARCA2"
"AR","SMPD1"
"AR","SNORD116-1"
"AR","SOS1"
"AR","STAT3"
"AR","STAT5B"
"AR","STRA6"
"AR","TCF7"
"AR","TG"
"AR","TGFB1"
"AR","TGFB2"
"AR","TGM1"
"AR","THPO"
"AR","TMSB10"
"AR","TNFAIP2"
"AR","TNFRSF11B"
"AR","TNFRSF1B"
"AR","TPO"
"AR","TRPS1"
"AR","UBE3A"
"AR","UCP1"
"AR","UCP2"
"AR","UCP3"
"AR","UGT1A10"
"AR","UGT2B4"
"AR","ZMIZ1"
"AR","IL6"
"AR","ACTA1"
"AR","AKR1C3"
"AR","ALDH1A3"
"AR","ARG1"
"AR","ARG2"
"AR","ATAD2"
"AR","BSG"
"AR","BTG1"
"AR","BTG2"
"AR","CDK20"
"AR","CDC6"
"AR","CDH1"
"AR","CDH11"
"AR","CDH2"
"AR","CDK6"
"AR","CLK3"
"AR","CRH"
"AR","CRISP1"
"AR","CRISP3"
"AR","CTNNB1"
"AR","CYP7B1"
"AR","ELK4"
"AR","EP300"
"AR","ERBB2"
"AR","ERBB3"
"AR","ETV1"
"AR","FKBP4"
"AR","FN1"
"AR","FOLH1"
"AR","GNMT"
"AR","GREB1"
"AR","HMMR"
"AR","HMOX1"
"AR","IFI16"
"AR","IGF1R"
"AR","IGFBP3"
"AR","KISS1"
"AR","KISS1R"
"AR","KLK1"
"AR","KLK4"
"AR","MID1"
"AR","NAT1"
"AR","NDRG1"
"AR","NFKB1"
"AR","NKX3-1"
"AR","NOV"
"AR","NRAS"
"AR","PC"
"AR","PSCA"
"AR","PEBP1"
"AR","PIP"
"AR","PMEPA1"
"AR","PTEN"
"AR","PTPN1"
"AR","REST"
"AR","SEPT7"
"AR","SERPINB5"
"AR","SESN1"
"AR","SRD5A3"
"AR","STIM1"
"AR","TBP"
"AR","TCF7L2"
"AR","TGFA"
"AR","TH"
"AR","TJP1"
"AR","TMPRSS2"
"AR","TSC1"
"AR","TSC2"
"AR","UCN"
"AR","UGT2B15"
"AR","USP26"
"AR","VIM"
"AR","WEE1"
"AR","WNT7B"
"AR","XIAP"
"AR","AADAC"
"AR","ABCA1"
"AR","ABCA2"
"AR","ABCF1"
"AR","ABCA4"
"AR","ABL1"
"AR","ABL2"
"AR","ABR"
"AR","ACACB"
"AR","ACADM"
"AR","ACAT2"
"AR","ACCN1"
"AR","ACO1"
"AR","ACP1"
"AR","ACTC1"
"AR","ACTN4"
"AR","ACTN1"
"AR","ACVR1"
"AR","ACVR2B"
"AR","ACVRL1"
"AR","ACYP1"
"AR","ACYP2"
"AR","ADAM10"
"AR","ADAR"
"AR","ADARB1"
"AR","ADARB2"
"AR","ADCY8"
"AR","ADCY9"
"AR","ADCYAP1R1"
"AR","ADD1"
"AR","ADD3"
"AR","PLIN2"
"AR","ADH5"
"AR","ADH7"
"AR","ADK"
"AR","ADM"
"AR","ADORA1"
"AR","ADORA2B"
"AR","ADORA3"
"AR","ADPRH"
"AR","PARP1"
"AR","PARP4"
"AR","ADRA1D"
"AR","ADRA1B"
"AR","ADRA2A"
"AR","ADRB2"
"AR","ADRBK2"
"AR","ADSS"
"AR","AP1B1"
"AR","AFP"
"AR","AGA"
"AR","ACAN"
"AR","AGL"
"AR","JAG1"
"AR","APLNR"
"AR","AHCY"
"AR","AHR"
"AR","AIM1"
"AR","AK2"
"AR","AK4"
"AR","AKT2"
"AR","ALCAM"
"AR","ALDH1A1"
"AR","ALDH1B1"
"AR","ALDH9A1"
"AR","ALDH3A2"
"AR","ABCD2"
"AR","ALK"
"AR","ALOX5AP"
"AR","ANXA8L2"
"AR","ALOX15B"
"AR","ALPL"
"AR","AMPD3"
"AR","AMPH"
"AR","BIN1"
"AR","AMT"
"AR","AMY2B"
"AR","ANGPT1"
"AR","ANK1"
"AR","ANK2"
"AR","ANK3"
"AR","ANPEP"
"AR","ANXA1"
"AR","ANXA2"
"AR","ANXA3"
"AR","ANXA4"
"AR","ANXA5"
"AR","ANXA6"
"AR","ANXA7"
"AR","ANXA11"
"AR","ANXA13"
"AR","AOAH"
"AR","AOX1"
"AR","APAF1"
"AR","APOF"
"AR","APBA1"
"AR","APBB2"
"AR","APCS"
"AR","BIRC2"
"AR","BIRC3"
"AR","APLP2"
"AR","APP"
"AR","SHROOM2"
"AR","AQP3"
"AR","ARCN1"
"AR","ARF1"
"AR","ARF3"
"AR","ARF4"
"AR","RHOA"
"AR","RHOB"
"AR","RND3"
"AR","ARHGAP5"
"AR","ARHGAP6"
"AR","RHOH"
"AR","ARL3"
"AR","ARNT"
"AR","ARRB1"
"AR","ARSB"
"AR","STS"
"AR","ARSE"
"AR","ART3"
"AR","ASIP"
"AR","ASNA1"
"AR","ASPH"
"AR","ASS1"
"AR","ASTN1"
"AR","ZFHX3"
"AR","ATF3"
"AR","ATF4"
"AR","RERE"
"AR","ATOX1"
"AR","ATP1A1"
"AR","ATP1A2"
"AR","ATP1A4"
"AR","ATP1B1"
"AR","ATP1B3"
"AR","ATP2B2"
"AR","ATP2B4"
"AR","ATP5D"
"AR","ATP5E"
"AR","ATP5F1"
"AR","ATP6V1A"
"AR","ATP6V1B2"
"AR","ATP6V0B"
"AR","ATP6V0A1"
"AR","ATP5O"
"AR","ATR"
"AR","AUH"
"AR","AXL"
"AR","B2M"
"AR","BACH1"
"AR","BAI2"
"AR","BCAT1"
"AR","BCKDHB"
"AR","BCL2L1"
"AR","BCL3"
"AR","BCL6"
"AR","BCL9"
"AR","HCN2"
"AR","BCR"
"AR","BDH1"
"AR","BDKRB1"
"AR","BDKRB2"
"AR","BDNF"
"AR","BFSP1"
"AR","BICD1"
"AR","BID"
"AR","PRDM1"
"AR","BLK"
"AR","BLM"
"AR","BNC1"
"AR","BMP1"
"AR","BMP6"
"AR","BMP7"
"AR","BMP8B"
"AR","BMPR1A"
"AR","BMPR1B"
"AR","BMPR2"
"AR","BNIP3L"
"AR","DST"
"AR","BPGM"
"AR","BPHL"
"AR","ZFP36L1"
"AR","ZFP36L2"
"AR","BTC"
"AR","BTD"
"AR","KLF9"
"AR","BYSL"
"AR","C3orf51"
"AR","C1R"
"AR","C1S"
"AR","C4BPA"
"AR","DAGLA"
"AR","C16orf3"
"AR","PTTG1IP"
"AR","TMEM50B"
"AR","CA5A"
"AR","CA9"
"AR","CA12"
"AR","CACNA1A"
"AR","CACNA1C"
"AR","CACNA1D"
"AR","SLC25A20"
"AR","CAD"
"AR","S100G"
"AR","CALD1"
"AR","CALM1"
"AR","CALM2"
"AR","CALR"
"AR","CALU"
"AR","CAMK2B"
"AR","CAMK2D"
"AR","CAMLG"
"AR","CAPG"
"AR","CAPN2"
"AR","CAPN3"
"AR","CAPZA1"
"AR","CAST"
"AR","CAPZB"
"AR","CASP2"
"AR","CASQ1"
"AR","CAV1"
"AR","CAV2"
"AR","CAV3"
"AR","RUNX2"
"AR","RUNX1"
"AR","RUNX1T1"
"AR","CBFB"
"AR","CBLB"
"AR","CCIN"
"AR","CCBL1"
"AR","CCK"
"AR","CCNA2"
"AR","CCNG2"
"AR","CCNH"
"AR","CD8B"
"AR","CD28"
"AR","TNFRSF8"
"AR","TNFSF8"
"AR","CD34"
"AR","SCARB2"
"AR","CD44"
"AR","CD58"
"AR","CD59"
"AR","CD63"
"AR","CD97"
"AR","CDA"
"AR","LRBA"
"AR","CDC5L"
"AR","CDC20"
"AR","CDC25B"
"AR","CDC27"
"AR","CDC42"
"AR","CDH3"
"AR","CDH4"
"AR","CDH8"
"AR","CDH16"
"AR","CDK5"
"AR","CDKN1B"
"AR","CDKN2B"
"AR","CDKN2C"
"AR","CEBPA"
"AR","CEBPD"
"AR","CEBPG"
"AR","CEL"
"AR","CENPC1"
"AR","CENPE"
"AR","CENPF"
"AR","CFL1"
"AR","CFL2"
"AR","CTSC"
"AR","CGB"
"AR","RCC1"
"AR","CHD2"
"AR","CHD3"
"AR","FOXN3"
"AR","CHI3L1"
"AR","CHI3L2"
"AR","CHIT1"
"AR","CHML"
"AR","CHN1"
"AR","CHN2"
"AR","LYST"
"AR","CHRM5"
"AR","CHRNA1"
"AR","CHRNB1"
"AR","CHRNB3"
"AR","CHRND"
"AR","CHRNG"
"AR","CKS1B"
"AR","CKS2"
"AR","CLCN3"
"AR","CLCN4"
"AR","CLIC1"
"AR","CLK1"
"AR","CLTA"
"AR","CLTC"
"AR","CCR7"
"AR","CMKLR1"
"AR","ABCC2"
"AR","CNGB1"
"AR","CNGA1"
"AR","CNGA3"
"AR","CNN2"
"AR","CNN3"
"AR","CNR2"
"AR","CNTF"
"AR","COL1A2"
"AR","COL3A1"
"AR","COL4A1"
"AR","COL4A2"
"AR","COL4A3"
"AR","COL4A4"
"AR","COL4A6"
"AR","COL5A1"
"AR","COL5A2"
"AR","COL6A3"
"AR","COL8A1"
