"transcription_factor","target_gene"
"E2F4","DDX42"
"E2F4","VSIG4"
"E2F4","PHB2"
"E2F4","CBX3"
"E2F4","OIP5"
"E2F4","EXOSC8"
"E2F4","COPZ1"
"E2F4","RASA3"
"E2F4","MTF2"
"E2F4","ZNF652"
"E2F4","COBLL1"
"E2F4","RNF44"
"E2F4","CPEB3"
"E2F4","LPHN1"
"E2F4","SLITRK3"
"E2F4","MORC2"
"E2F4","BTBD3"
"E2F4","TRAK1"
"E2F4","DHX30"
"E2F4","KIFAP3"
"E2F4","RAB18"
"E2F4","CCT5"
"E2F4","TPX2"
"E2F4","TCF25"
"E2F4","KDM2A"
"E2F4","RIMS1"
"E2F4","DAAM1"
"E2F4","RAB21"
"E2F4","EXOSC7"
"E2F4","DOPEY1"
"E2F4","XPO7"
"E2F4","PDXDC1"
"E2F4","SMG1"
"E2F4","KIAA0090"
"E2F4","ERP44"
"E2F4","UHRF1BP1L"
"E2F4","PPRC1"
"E2F4","ERC1"
"E2F4","ARHGAP26"
"E2F4","TBC1D2B"
"E2F4","FAM179B"
"E2F4","TAB2"
"E2F4","GLT25D2"
"E2F4","ATG2A"
"E2F4","NUP205"
"E2F4","KANK1"
"E2F4","PSME4"
"E2F4","XPO6"
"E2F4","PLCB1"
"E2F4","ANKRD28"
"E2F4","BOP1"
"E2F4","RPRD2"
"E2F4","KAZN"
"E2F4","CAMTA1"
"E2F4","LPHN2"
"E2F4","CAMSAP2"
"E2F4","FAM208A"
"E2F4","AGTPBP1"
"E2F4","BICD2"
"E2F4","TMEM194A"
"E2F4","DMXL2"
"E2F4","TRIM2"
"E2F4","KIAA1033"
"E2F4","SASH1"
"E2F4","WDR7"
"E2F4","DOCK9"
"E2F4","UBR4"
"E2F4","VPS8"
"E2F4","PSD3"
"E2F4","ARHGEF12"
"E2F4","MAU2"
"E2F4","LARS2"
"E2F4","NCAPH"
"E2F4","PPWD1"
"E2F4","SLC7A8"
"E2F4","ABCB10"
"E2F4","CBX6"
"E2F4","MACF1"
"E2F4","DAAM2"
"E2F4","CLCF1"
"E2F4","RBFOX2"
"E2F4","SYNGR4"
"E2F4","TSPAN15"
"E2F4","CLDN14"
"E2F4","PRG1"
"E2F4","HEBP2"
"E2F4","OPN3"
"E2F4","SSBP2"
"E2F4","LSM5"
"E2F4","PLA2G15"
"E2F4","STX12"
"E2F4","SH3BP4"
"E2F4","CADM1"
"E2F4","C15orf2"
"E2F4","BHMT2"
"E2F4","PANX1"
"E2F4","ZNF318"
"E2F4","TP53TG3"
"E2F4","C11orf41"
"E2F4","DNAJB5"
"E2F4","C3orf17"
"E2F4","ZNF473"
"E2F4","TRIM58"
"E2F4","METTL21B"
"E2F4","C11orf51"
"E2F4","AHCTF1"
"E2F4","ZNF521"
"E2F4","NOL11"
"E2F4","CNRIP1"
"E2F4","C18orf10"
"E2F4","PVRL3"
"E2F4","KBTBD2"
"E2F4","KANK2"
"E2F4","KIAA1429"
"E2F4","PARS2"
"E2F4","GORASP2"
"E2F4","LRIG1"
"E2F4","TMEM98"
"E2F4","OSBPL3"
"E2F4","ZNF451"
"E2F4","LTN1"
"E2F4","DNM3"
"E2F4","RAB11FIP5"
"E2F4","ANKRD17"
"E2F4","C20orf26"
"E2F4","CHTOP"
"E2F4","CCDC69"
"E2F4","PRPF31"
"E2F4","EPC2"
"E2F4","ZBTB20"
"E2F4","NAT9"
"E2F4","ZNF337"
"E2F4","ABCA12"
"E2F4","SENP3"
"E2F4","OR1C1"
"E2F4","FBXW2"
"E2F4","OR2F1"
"E2F4","FBXL21"
"E2F4","STAP1"
"E2F4","TIAM2"
"E2F4","FBXL5"
"E2F4","FBXO8"
"E2F4","FBXO5"
"E2F4","OR7A17"
"E2F4","FXC1"
"E2F4","OR12D2"
"E2F4","ITGB1BP2"
"E2F4","OSTF1"
"E2F4","GREM1"
"E2F4","CKAP2"
"E2F4","MRPL46"
"E2F4","OR4F4"
"E2F4","OR2J2"
"E2F4","STEAP1"
"E2F4","RANBP6"
"E2F4","CHORDC1"
"E2F4","ZNF285"
"E2F4","TPK1"
"E2F4","FOXD3"
"E2F4","ATP2C1"
"E2F4","SND1"
"E2F4","STAU2"
"E2F4","PPA2"
"E2F4","RPUSD2"
"E2F4","FOXP1"
"E2F4","B3GAT1"
"E2F4","CLUL1"
"E2F4","C7orf54"
"E2F4","DKK3"
"E2F4","DKK2"
"E2F4","MORC1"
"E2F4","STK36"
"E2F4","RTDR1"
"E2F4","ARHGEF16"
"E2F4","CNTN6"
"E2F4","LSM3"
"E2F4","DIMT1"
"E2F4","ADAMDEC1"
"E2F4","PGAP2"
"E2F4","PCSK1N"
"E2F4","KCNMB4"
"E2F4","TMEM97"
"E2F4","EML4"
"E2F4","DLL1"
"E2F4","SLC6A16"
"E2F4","MRPL13"
"E2F4","ATAD2"
"E2F4","CCDC113"
"E2F4","MRPL18"
"E2F4","ORMDL2"
"E2F4","DROSHA"
"E2F4","SCG3"
"E2F4","FHOD1"
"E2F4","PRSS50"
"E2F4","CD274"
"E2F4","RACGAP1"
"E2F4","C2orf27A"
"E2F4","ALG5"
"E2F4","SNX10"
"E2F4","GNL2"
"E2F4","SNX15"
"E2F4","HCFC2"
"E2F4","SNX11"
"E2F4","NME7"
"E2F4","C7orf68"
"E2F4","SERTAD3"
"E2F4","SLC25A24"
"E2F4","FTSJ2"
"E2F4","LRP12"
"E2F4","PSAT1"
"E2F4","UBQLN1"
"E2F4","SPANXA1"
"E2F4","SOX8"
"E2F4","ZNRD1"
"E2F4","EHD3"
"E2F4","PIK3R4"
"E2F4","SCAPER"
"E2F4","SMARCAL1"
"E2F4","G0S2"
"E2F4","PLA2G3"
"E2F4","CD207"
"E2F4","DUOX2"
"E2F4","CYHR1"
"E2F4","TAS2R16"
"E2F4","STMN3"
"E2F4","RNF141"
"E2F4","IMPG2"
"E2F4","TMED5"
"E2F4","ST8SIA3"
"E2F4","ZNF691"
"E2F4","SH3GLB1"
"E2F4","PHF20L1"
"E2F4","TRIM17"
"E2F4","RNFT1"
"E2F4","COPS4"
"E2F4","CHCHD2"
"E2F4","CERCAM"
"E2F4","DCTN4"
"E2F4","HSD17B11"
"E2F4","WBP5"
"E2F4","SS18L2"
"E2F4","IPO11"
"E2F4","RAPGEFL1"
"E2F4","NUSAP1"
"E2F4","DUSP13"
"E2F4","PDZD11"
"E2F4","NT5C3"
"E2F4","TBC1D7"
"E2F4","MRPL51"
"E2F4","CXorf26"
"E2F4","MRPL27"
"E2F4","KLF3"
"E2F4","C12orf47"
"E2F4","IER5"
"E2F4","TLR7"
"E2F4","TXNDC3"
"E2F4","MRPL35"
"E2F4","MEX3C"
"E2F4","DACT1"
"E2F4","CRNKL1"
"E2F4","TAOK3"
"E2F4","MBTPS2"
"E2F4","UBR5"
"E2F4","C2orf28"
"E2F4","UCHL5"
"E2F4","CRLF3"
"E2F4","COMMD10"
"E2F4","PRKAG2"
"E2F4","DDX41"
"E2F4","IP6K2"
"E2F4","GPR89B"
"E2F4","DCDC2"
"E2F4","ANKFY1"
"E2F4","CTDSPL2"
"E2F4","C11orf73"
"E2F4","CWC15"
"E2F4","GTSE1"
"E2F4","TMEM138"
"E2F4","UFM1"
"E2F4","NOP58"
"E2F4","METTL13"
"E2F4","MRPS33"
"E2F4","FKBP7"
"E2F4","NUB1"
"E2F4","MPP6"
"E2F4","NAA38"
"E2F4","VPS29"
"E2F4","RAB23"
"E2F4","UIMC1"
"E2F4","DNAJB11"
"E2F4","RAPGEF6"
"E2F4","CD244"
"E2F4","RTEL1"
"E2F4","ERAP1"
"E2F4","MYOZ2"
"E2F4","COQ3"
"E2F4","GALNT7"
"E2F4","TM6SF1"
"E2F4","PANK1"
"E2F4","SHC3"
"E2F4","BCMO1"
"E2F4","FXYD6"
"E2F4","GPR87"
"E2F4","TRIM34"
"E2F4","FTHL17"
"E2F4","CNTN5"
"E2F4","C21orf58"
"E2F4","C21orf49"
"E2F4","MIS18A"
"E2F4","TSPEAR"
"E2F4","CHRAC1"
"E2F4","DCUN1D1"
"E2F4","GNG2"
"E2F4","YIPF1"
"E2F4","RIN2"
"E2F4","MOV10L1"
"E2F4","MRPS21"
"E2F4","FAM190B"
"E2F4","ETAA1"
"E2F4","MIOS"
"E2F4","SMCR7L"
"E2F4","KRT20"
"E2F4","PLEKHA5"
"E2F4","CCDC76"
"E2F4","FAM105A"
"E2F4","TMX3"
"E2F4","HEATR5B"
"E2F4","PCDH18"
"E2F4","EXOSC4"
"E2F4","USP53"
"E2F4","MRPL50"
"E2F4","FAM193B"
"E2F4","MTMR12"
"E2F4","RNF186"
"E2F4","ING3"
"E2F4","L1TD1"
"E2F4","DDX56"
"E2F4","WDR74"
"E2F4","TMEM106B"
"E2F4","RSBN1"
"E2F4","CNGB3"
"E2F4","RAB39"
"E2F4","ROPN1"
"E2F4","ZRANB1"
"E2F4","DIRAS2"
"E2F4","RNF111"
"E2F4","KCTD9"
"E2F4","BNC2"
"E2F4","DCHS2"
"E2F4","ZNF280D"
"E2F4","GIN1"
"E2F4","BCAS3"
"E2F4","LRRC49"
"E2F4","MFSD6"
"E2F4","FBXL12"
"E2F4","PAQR5"
"E2F4","C3orf75"
"E2F4","GPATCH4"
"E2F4","TMEM104"
"E2F4","DCAF16"
"E2F4","ZCCHC2"
"E2F4","TEX10"
"E2F4","ANKHD1"
"E2F4","UHRF1BP1"
"E2F4","NCAPG2"
"E2F4","RNF43"
"E2F4","ELOVL2"
"E2F4","CCDC99"
"E2F4","RASIP1"
"E2F4","CHCHD3"
"E2F4","C12orf41"
"E2F4","COMMD4"
"E2F4","FAM206A"
"E2F4","C1orf109"
"E2F4","UCKL1"
"E2F4","PINX1"
"E2F4","C1orf123"
"E2F4","TTC22"
"E2F4","LAMTOR1"
"E2F4","C12orf48"
"E2F4","PIH1D1"
"E2F4","PRPF39"
"E2F4","LINC00483"
"E2F4","TTC38"
"E2F4","NOL8"
"E2F4","PTCD3"
"E2F4","CDCA4"
"E2F4","ZWILCH"
"E2F4","WDYHV1"
"E2F4","SAMD4B"
"E2F4","EBLN2"
"E2F4","GPATCH2"
"E2F4","CRTAC1"
"E2F4","AKIRIN2"
"E2F4","HEATR1"
"E2F4","ARMC4"
"E2F4","SRBD1"
"E2F4","WRAP53"
"E2F4","FAM90A1"
"E2F4","CDCA8"
"E2F4","MTPAP"
"E2F4","TMEM33"
"E2F4","SHQ1"
"E2F4","DNAAF2"
"E2F4","RNF220"
"E2F4","RIF1"
"E2F4","BBS7"
"E2F4","FANCI"
"E2F4","CCDC25"
"E2F4","NEIL3"
"E2F4","C22orf26"
"E2F4","NUDT15"
"E2F4","TMEM100"
"E2F4","VPS53"
"E2F4","ZNF654"
"E2F4","CWF19L1"
"E2F4","MCOLN3"
"E2F4","UBE2W"
"E2F4","C4orf19"
"E2F4","RNF121"
"E2F4","BRIX1"
"E2F4","C20orf29"
"E2F4","C4orf43"
"E2F4","MIS18BP1"
"E2F4","C5orf22"
"E2F4","LARP6"
"E2F4","MNS1"
"E2F4","FBXL8"
"E2F4","SLC35C1"
"E2F4","C4orf21"
"E2F4","C17orf79"
"E2F4","HJURP"
"E2F4","LGR4"
"E2F4","ZNF331"
"E2F4","TNFRSF19"
"E2F4","SLC35E3"
"E2F4","MAML3"
"E2F4","SOX6"
"E2F4","FOXRED1"
"E2F4","RNPC3"
"E2F4","ITLN1"
"E2F4","ANKRD10"
"E2F4","ZDHHC7"
"E2F4","LRRC40"
"E2F4","DEPDC1"
"E2F4","LIMS2"
"E2F4","PACS1"
"E2F4","RBM22"
"E2F4","TMEM48"
"E2F4","TSR1"
"E2F4","C1orf112"
"E2F4","VPS35"
"E2F4","CARKD"
"E2F4","NUP133"
"E2F4","UGGT2"
"E2F4","WDR12"
"E2F4","ZNF701"
"E2F4","NGLY1"
"E2F4","PRR11"
"E2F4","TDP1"
"E2F4","WDR52"
"E2F4","RIOK2"
"E2F4","FTSJD1"
"E2F4","TRERF1"
"E2F4","FOXJ2"
"E2F4","VPS11"
"E2F4","CAND1"
"E2F4","UBAP2"
"E2F4","CENPN"
"E2F4","EAF2"
"E2F4","C9orf46"
"E2F4","ZC3H15"
"E2F4","BEX1"
"E2F4","ACTR10"
"E2F4","TMEM126B"
"E2F4","CBWD1"
"E2F4","LMO3"
"E2F4","MLL5"
"E2F4","DMAP1"
"E2F4","KLHL9"
"E2F4","GNG12"
"E2F4","KLHL7"
"E2F4","BARX1"
"E2F4","ALG1"
"E2F4","PCDHB12"
"E2F4","PCDHB4"
"E2F4","TEX15"
"E2F4","C21orf62"
"E2F4","RNF20"
"E2F4","CTNNBL1"
"E2F4","CTPS2"
"E2F4","KCNQ5"
"E2F4","CHST7"
"E2F4","CYP26B1"
"E2F4","EIF5A2"
"E2F4","LINC00470"
"E2F4","PANX2"
"E2F4","SUCNR1"
"E2F4","NRIP3"
"E2F4","ASCL3"
"E2F4","RAD18"
"E2F4","LGALS14"
"E2F4","C8orf4"
"E2F4","AGPAT3"
"E2F4","AGPAT4"
"E2F4","SH3GLB2"
"E2F4","THAP10"
"E2F4","C1GALT1"
"E2F4","MCCC1"
"E2F4","ARNTL2"
"E2F4","C16orf61"
"E2F4","ENY2"
"E2F4","C11orf30"
"E2F4","PSMG2"
"E2F4","CHPT1"
"E2F4","CCNL1"
"E2F4","UTP3"
"E2F4","DAZ3"
"E2F4","DAZ2"
"E2F4","CASC5"
"E2F4","ENTPD7"
"E2F4","TRIM49"
"E2F4","CPA6"
"E2F4","ZNF695"
"E2F4","SPINLW1"
"E2F4","NUP107"
"E2F4","DAZ4"
"E2F4","RTN4"
"E2F4","SCYL3"
"E2F4","RALGAPB"
"E2F4","LYZL6"
"E2F4","PHTF2"
"E2F4","PELI1"
"E2F4","DOLPP1"
"E2F4","ZMIZ1"
"E2F4","KIAA1244"
"E2F4","PBXIP1"
"E2F4","SENP7"
"E2F4","CLK4"
"E2F4","SPC25"
"E2F4","WDR18"
"E2F4","KIAA1143"
"E2F4","TMCC3"
"E2F4","ODF2L"
"E2F4","MKL2"
"E2F4","INTS2"
"E2F4","MTUS1"
"E2F4","PCDH19"
"E2F4","KCTD16"
"E2F4","TBC1D14"
"E2F4","KIAA1328"
"E2F4","WDR35"
"E2F4","ZNF624"
"E2F4","ARRDC3"
"E2F4","KIAA1377"
"E2F4","PCDH10"
"E2F4","KIAA1407"
"E2F4","PREX1"
"E2F4","ZNF687"
"E2F4","DIP2B"
"E2F4","ISLR2"
"E2F4","CCDC146"
"E2F4","KIAA1522"
"E2F4","KIAA1524"
"E2F4","HCN3"
"E2F4","CHD8"
"E2F4","KIAA1586"
"E2F4","USP37"
"E2F4","DDX55"
"E2F4","FAM160B1"
"E2F4","GBA2"
"E2F4","GPR107"
"E2F4","METTL14"
"E2F4","SCUBE2"
"E2F4","SUGP1"
"E2F4","G6PC2"
"E2F4","CCNB1IP1"
"E2F4","C1orf114"
"E2F4","CATSPERG"
"E2F4","ZP4"
"E2F4","SLC4A5"
"E2F4","PTBP2"
"E2F4","MS4A7"
"E2F4","TP53INP2"
"E2F4","ZNF71"
"E2F4","C9orf80"
"E2F4","OSTC"
"E2F4","MPP4"
"E2F4","HIVEP3"
"E2F4","CACNG7"
"E2F4","ZNF350"
"E2F4","TMEM35"
"E2F4","NIF3L1"
"E2F4","DHX35"
"E2F4","MIIP"
"E2F4","PAPPA2"
"E2F4","SLC22A23"
"E2F4","MRPL17"
"E2F4","FAM111A"
"E2F4","ZNF335"
"E2F4","DMRTC2"
"E2F4","NEUROG2"
"E2F4","PRDM16"
"E2F4","FIGNL1"
"E2F4","SLC28A3"
"E2F4","SMOC1"
"E2F4","LRRC4"
"E2F4","CENPK"
"E2F4","MAGEF1"
"E2F4","TMBIM1"
"E2F4","IFIH1"
"E2F4","ZFYVE20"
"E2F4","DNAJC1"
"E2F4","PJA1"
"E2F4","MS4A5"
"E2F4","RNF25"
"E2F4","RFWD2"
"E2F4","GREM2"
"E2F4","INF2"
"E2F4","SUDS3"
"E2F4","ACTR6"
"E2F4","NOM1"
"E2F4","NUCKS1"
"E2F4","SMURF2"
"E2F4","CCDC136"
"E2F4","ATPAF1"
"E2F4","ZNF574"
"E2F4","MTHFSD"
"E2F4","AEN"
"E2F4","RBM15"
"E2F4","CRTC3"
"E2F4","GINS3"
"E2F4","TBC1D15"
"E2F4","LMF1"
"E2F4","DEM1"
"E2F4","RMND5A"
"E2F4","KLC2"
"E2F4","ISL2"
"E2F4","TUT1"
"E2F4","ARMCX5"
"E2F4","METTL4"
"E2F4","RFX7"
"E2F4","NT5DC2"
"E2F4","MRPS11"
"E2F4","NDRG4"
"E2F4","TMEM237"
"E2F4","NOL6"
"E2F4","TMEM135"
"E2F4","MARCKSL1"
"E2F4","RSRC2"
"E2F4","ZNF649"
"E2F4","GRAMD3"
"E2F4","ZBTB10"
"E2F4","KCTD14"
"E2F4","MGC2752"
"E2F4","MRP63"
"E2F4","OTUB2"
"E2F4","PCYOX1L"
"E2F4","C17orf53"
"E2F4","GDAP1L1"
"E2F4","C19orf43"
"E2F4","MIS12"
"E2F4","DBNDD1"
"E2F4","SLX1B"
"E2F4","DDX50"
"E2F4","GGCT"
"E2F4","TMEM106C"
"E2F4","NUP37"
"E2F4","ALG8"
"E2F4","ATG9A"
"E2F4","METTL16"
"E2F4","FASTKD3"
"E2F4","DSCC1"
"E2F4","WDR77"
"E2F4","TRAPPC6A"
"E2F4","TAF1D"
"E2F4","RNF26"
"E2F4","DERL1"
"E2F4","C7orf23"
"E2F4","LENG1"
"E2F4","RBM42"
"E2F4","CENPO"
"E2F4","EFHD2"
"E2F4","BHLHE41"
"E2F4","HMGN5"
"E2F4","FCRL2"
"E2F4","ZBED2"
"E2F4","FYCO1"
"E2F4","OR4F5"
"E2F4","SPAG16"
"E2F4","C10orf76"
"E2F4","CEP97"
"E2F4","GALNT14"
"E2F4","NDNF"
"E2F4","PANK3"
"E2F4","HECTD3"
"E2F4","HSPBAP1"
"E2F4","NARG2"
"E2F4","DHX40"
"E2F4","FLJ13197"
"E2F4","VEPH1"
"E2F4","ZDHHC14"
"E2F4","QTRTD1"
"E2F4","ANKRD55"
"E2F4","PALB2"
"E2F4","ZNF419"
"E2F4","CLIP4"
"E2F4","SNIP1"
"E2F4","MCTP1"
"E2F4","CCDC82"
"E2F4","MYH14"
"E2F4","SHCBP1"
"E2F4","HPS6"
"E2F4","GSTCD"
"E2F4","LINC00115"
"E2F4","TUBAL3"
"E2F4","BORA"
"E2F4","PODNL1"
"E2F4","LPCAT1"
"E2F4","GGNBP2"
"E2F4","CYBRD1"
"E2F4","MRM1"
"E2F4","LINC00472"
"E2F4","SCD5"
"E2F4","WDR76"
"E2F4","ATAT1"
"E2F4","TTC26"
"E2F4","OBFC1"
"E2F4","ELOVL7"
"E2F4","ESRP2"
"E2F4","C10orf88"
"E2F4","FAM192A"
"E2F4","PANK2"
"E2F4","C6orf208"
"E2F4","CCDC15"
"E2F4","ZFP2"
"E2F4","C3orf36"
"E2F4","CCDC33"
"E2F4","C14orf45"
"E2F4","C6orf97"
"E2F4","SIKE1"
"E2F4","EDC3"
"E2F4","AGSK1"
"E2F4","NAA15"
"E2F4","CTC1"
"E2F4","IFT74"
"E2F4","RNF34"
"E2F4","CHD9"
"E2F4","SPG11"
"E2F4","CCDC92"
"E2F4","TARS2"
"E2F4","RUFY1"
"E2F4","PREX2"
"E2F4","SLC35F5"
"E2F4","TRABD"
"E2F4","FLAD1"
"E2F4","TET1"
"E2F4","EPC1"
"E2F4","GKAP1"
"E2F4","ULBP2"
"E2F4","ULBP1"
"E2F4","ADAM33"
"E2F4","TRAF3IP3"
"E2F4","LPAL2"
"E2F4","TMEM121"
"E2F4","THAP7"
"E2F4","CEP44"
"E2F4","ZFP91"
"E2F4","COLEC12"
"E2F4","OR4F17"
"E2F4","OR51G2"
"E2F4","OR4C15"
"E2F4","OR6K2"
"E2F4","OR2G3"
"E2F4","OR2C3"
"E2F4","SLC38A1"
"E2F4","WBSCR16"
"E2F4","YIPF5"
"E2F4","C15orf44"
"E2F4","TRIM11"
"E2F4","MIR600HG"
"E2F4","CDADC1"
"E2F4","CDT1"
"E2F4","KAZALD1"
"E2F4","UNC93B1"
"E2F4","DIAPH3"
"E2F4","TSSK3"
"E2F4","LOC81691"
"E2F4","TRIM7"
"E2F4","ADAMTS10"
"E2F4","SPRY4"
"E2F4","ST6GALNAC5"
"E2F4","KRTAP1-1"
"E2F4","QTRT1"
"E2F4","ELOVL3"
"E2F4","CDCA3"
"E2F4","MXD3"
"E2F4","GLT8D2"
"E2F4","DDX59"
"E2F4","NUF2"
"E2F4","RASSF5"
"E2F4","BCL2L12"
"E2F4","TMEM47"
"E2F4","CCM2"
"E2F4","C12orf32"
"E2F4","FERMT3"
"E2F4","NRIP2"
"E2F4","RBM4B"
"E2F4","USP26"
"E2F4","TMTC1"
"E2F4","CDCA7"
"E2F4","EIF3FP2"
"E2F4","MIXL1"
"E2F4","TTLL2"
"E2F4","KRTAP3-1"
"E2F4","KRTAP9-2"
"E2F4","GSG2"
"E2F4","C1orf124"
"E2F4","TMEM133"
"E2F4","RASSF4"
"E2F4","C10orf11"
"E2F4","BRIP1"
"E2F4","REG4"
"E2F4","TMPRSS13"
"E2F4","WDR54"
"E2F4","GPR98"
"E2F4","SLC10A7"
"E2F4","ARMC2"
"E2F4","TKTL2"
"E2F4","ZRANB3"
"E2F4","FBXO30"
"E2F4","UTP15"
"E2F4","FAM175A"
"E2F4","C12orf26"
"E2F4","TBC1D3F"
"E2F4","C21orf56"
"E2F4","ANKRD32"
"E2F4","DCUN1D5"
"E2F4","PRADC1"
"E2F4","RNF135"
"E2F4","ING5"
"E2F4","GINS4"
"E2F4","LLPH"
"E2F4","CHCHD6"
"E2F4","C7orf50"
"E2F4","CCDC77"
"E2F4","C3orf26"
"E2F4","C16orf13"
"E2F4","ZBED3"
"E2F4","EFCAB7"
"E2F4","L3MBTL3"
"E2F4","SPIRE2"
"E2F4","JPH4"
"E2F4","NKX6-2"
"E2F4","DCTN5"
"E2F4","ARPM1"
"E2F4","C15orf41"
"E2F4","MCHR2"
"E2F4","C6orf168"
"E2F4","TUBB6"
"E2F4","SLITRK2"
"E2F4","USP38"
"E2F4","SPZ1"
"E2F4","MS4A14"
"E2F4","CAPS2"
"E2F4","HDGFRP2"
"E2F4","ZNF577"
"E2F4","SPRYD5"
"E2F4","SUV420H2"
"E2F4","C19orf48"
"E2F4","BUD13"
"E2F4","LMNB2"
"E2F4","USMG5"
"E2F4","KLHL22"
"E2F4","ZC3H10"
"E2F4","CEP89"
"E2F4","C9orf100"
"E2F4","FAM136A"
"E2F4","C9orf3"
"E2F4","ZNF382"
"E2F4","ALG10"
"E2F4","FIZ1"
"E2F4","CORO6"
"E2F4","TIGD5"
"E2F4","NUDCD1"
"E2F4","FBXL20"
"E2F4","ALKBH6"
"E2F4","MFSD5"
"E2F4","MIR22HG"
"E2F4","UBL7"
"E2F4","FAM86B1"
"E2F4","AGXT2L2"
"E2F4","C11orf70"
"E2F4","KRTAP4-5"
"E2F4","KRTAP2-4"
"E2F4","PPIL4"
"E2F4","ZCCHC3"
"E2F4","ALG2"
"E2F4","FAM207A"
"E2F4","DNAJC14"
"E2F4","LRRCC1"
"E2F4","CNTNAP4"
"E2F4","ZFHX2"
"E2F4","ITPRIP"
"E2F4","TNKS1BP1"
"E2F4","DIXDC1"
"E2F4","ZNF518B"
"E2F4","SSH2"
"E2F4","TRIM4"
"E2F4","UMODL1"
"E2F4","SIGLEC12"
"E2F4","SEC16B"
"E2F4","ZNF628"
"E2F4","KBTBD6"
"E2F4","WDR34"
"E2F4","UBE2CBP"
"E2F4","EFCAB11"
"E2F4","HS6ST2"
"E2F4","WFDC8"
"E2F4","UCN2"
"E2F4","ZNF551"
"E2F4","THAP3"
"E2F4","C15orf42"
"E2F4","MED30"
"E2F4","ATP6V1E2"
"E2F4","ERI1"
"E2F4","ZNF605"
"E2F4","STARD13"
"E2F4","MGC45800"
"E2F4","C9orf123"
"E2F4","TRIM41"
"E2F4","CERS5"
"E2F4","ZNF682"
"E2F4","SCARF2"
"E2F4","GGTLC2"
"E2F4","C19orf22"
"E2F4","CDKN2AIPNL"
"E2F4","ANKRD40"
"E2F4","BTF3L4"
"E2F4","RCCD1"
"E2F4","C19orf40"
"E2F4","RNF185"
"E2F4","PKDCC"
"E2F4","SYT12"
"E2F4","CHMP7"
"E2F4","TTC5"
"E2F4","C11orf52"
"E2F4","ZNF300"
"E2F4","MCART1"
"E2F4","C4orf42"
"E2F4","INTS4"
"E2F4","RCSD1"
"E2F4","METTL18"
"E2F4","C1orf105"
"E2F4","SPECC1"
"E2F4","FANK1"
"E2F4","C20orf72"
"E2F4","ZNF561"
"E2F4","HAUS8"
"E2F4","ARMC6"
"E2F4","WDR67"
"E2F4","ZNF101"
"E2F4","SFXN5"
"E2F4","GCFC1"
"E2F4","GNG8"
"E2F4","FNIP1"
"E2F4","C14orf126"
"E2F4","LINC00152"
"E2F4","VPS26B"
"E2F4","CCDC104"
"E2F4","KTI12"
"E2F4","CDCA5"
"E2F4","IZUMO4"
"E2F4","CASC4"
"E2F4","LARP4"
"E2F4","TOE1"
"E2F4","UCN3"
"E2F4","PALM2"
"E2F4","EFHC1"
"E2F4","PKD1L2"
"E2F4","CSMD3"
"E2F4","FMNL2"
"E2F4","SORCS1"
"E2F4","OSBPL6"
"E2F4","OSBPL9"
"E2F4","OSBPL11"
"E2F4","C1QTNF6"
"E2F4","FBXO32"
"E2F4","TSGA13"
"E2F4","HAUS1"
"E2F4","SLC25A26"
"E2F4","FCRL1"
"E2F4","LRRC42"
"E2F4","ZNF689"
"E2F4","KIR3DL3"
"E2F4","ZNF653"
"E2F4","RMI2"
"E2F4","OSR2"
"E2F4","DNTTIP1"
"E2F4","CYYR1"
"E2F4","LYPD1"
"E2F4","TSEN15"
"E2F4","LRG1"
"E2F4","ART5"
"E2F4","MRGPRX4"
"E2F4","RLN3"
"E2F4","PARD3B"
"E2F4","EXOSC6"
"E2F4","ZNF488"
"E2F4","PIK3AP1"
"E2F4","ANKRD22"
"E2F4","AGAP4"
"E2F4","SFR1"
"E2F4","OR51F2"
"E2F4","FAT3"
"E2F4","OR2D3"
"E2F4","DEPDC4"
"E2F4","CCDC38"
"E2F4","C12orf45"
"E2F4","ALKBH2"
"E2F4","PRR20A"
"E2F4","LRR1"
"E2F4","SOCS4"
"E2F4","TARSL2"
"E2F4","LRRC28"
"E2F4","C16orf46"
"E2F4","NTAN1"
"E2F4","TMEM219"
"E2F4","EARS2"
"E2F4","SLC38A10"
"E2F4","CYB5D1"
"E2F4","CCDC43"
"E2F4","SGK494"
"E2F4","SEZ6"
"E2F4","WDR81"
"E2F4","KRT222"
"E2F4","C17orf76-AS1"
"E2F4","SLC5A10"
"E2F4","CEACAM20"
"E2F4","ZNF813"
"E2F4","ALDH16A1"
"E2F4","IRGQ"
"E2F4","HSPB6"
"E2F4","C19orf47"
"E2F4","AXDND1"
"E2F4","LYPLAL1"
"E2F4","OR2M5"
"E2F4","OR2T10"
"E2F4","ASB17"
"E2F4","ZNF684"
"E2F4","LRRC39"
"E2F4","C1orf122"
"E2F4","IQGAP3"
"E2F4","C20orf94"
"E2F4","NUP35"
"E2F4","XIRP2"
"E2F4","TRIM43"
"E2F4","ICA1L"
"E2F4","KCTD18"
"E2F4","ZNF513"
"E2F4","AHSA2"
"E2F4","CPNE4"
"E2F4","DNAJC19"
"E2F4","LRRC15"
"E2F4","FAM194A"
"E2F4","GRK7"
"E2F4","TMEM207"
"E2F4","SCLT1"
"E2F4","CPEB2"
"E2F4","OTOP1"
"E2F4","SLCO6A1"
"E2F4","NADKD1"
"E2F4","STARD4"
