,HMDB,GENE,direction,transport,transport_direction,reversibility
0,HMDB0059597,NOS2,degrading,nan,nan,nan
1,HMDB0004224,NOS2,degrading,nan,nan,nan
2,HMDB0002111,NOS2,producing,nan,nan,nan
3,HMDB0000217,NOS2,producing,nan,nan,nan
4,HMDB0003378,NOS2,producing,nan,nan,nan
5,HMDB0000904,NOS2,producing,nan,nan,nan
6,HMDB0001377,NOS2,degrading,nan,nan,nan
7,HMDB0000221,NOS2,degrading,nan,nan,nan
8,HMDB0000517,NOS2,degrading,nan,nan,nan
9,HMDB0000939,KMT2D,degrading,nan,nan,nan
10,HMDB0001185,KMT2D,degrading,nan,nan,nan
11,HMDB0003537,NME1,producing,nan,nan,nan
12,HMDB0003536,NME1,degrading,nan,nan,nan
13,HMDB0001191,NME1,producing,nan,nan,nan
14,HMDB0001000,NME1,degrading,nan,nan,nan
15,HMDB0000998,NME1,producing,nan,nan,nan
16,HMDB0001245,NME1,degrading,nan,nan,nan
17,HMDB0001342,NME1,producing,nan,nan,nan
18,HMDB0001274,NME1,degrading,nan,nan,nan
19,HMDB0001440,NME1,producing,nan,nan,nan
20,HMDB0000960,NME1,degrading,nan,nan,nan
21,HMDB0001532,NME1,producing,nan,nan,nan
22,HMDB0001508,NME1,degrading,nan,nan,nan
23,HMDB0000189,NME1,producing,nan,nan,nan
24,HMDB0003335,NME1,degrading,nan,nan,nan
25,HMDB0000082,NME1,producing,nan,nan,nan
26,HMDB0001546,NME1,degrading,nan,nan,nan
27,HMDB0001273,NME1,producing,nan,nan,nan
28,HMDB0001201,NME1,degrading,nan,nan,nan
29,HMDB0000285,NME1,producing,nan,nan,nan
30,HMDB0000295,NME1,degrading,nan,nan,nan
31,HMDB0001341,NME1,degrading,nan,nan,nan
32,HMDB0000538,NME1,degrading,nan,nan,nan
33,HMDB0001314,ADCY5,producing,nan,nan,nan
34,HMDB0001273,ADCY5,degrading,nan,nan,nan
35,HMDB0000250,ADCY5,producing,nan,nan,nan
36,HMDB0000058,ADCY5,producing,nan,nan,nan
37,HMDB0000538,ADCY5,degrading,nan,nan,nan
38,HMDB0003337,TXNDC12,degrading,nan,nan,nan
39,HMDB0000125,TXNDC12,degrading,nan,nan,nan
40,HMDB0000121,DHFR2,producing,nan,nan,nan
41,HMDB0059597,DHFR2,producing,nan,nan,nan
42,HMDB0001487,DHFR2,producing,nan,nan,nan
43,HMDB0000902,DHFR2,degrading,nan,nan,nan
44,HMDB0000221,DHFR2,producing,nan,nan,nan
45,HMDB0001056,DHFR2,producing,nan,nan,nan
46,HMDB0000217,DHFR2,degrading,nan,nan,nan
47,HMDB0001846,DHFR2,degrading,nan,nan,nan
48,HMDB0060431,MGST1,producing,nan,nan,nan
49,HMDB0006558,MGST1,degrading,nan,nan,nan
50,HMDB0060387,MGST1,producing,nan,nan,nan
51,HMDB0060433,MGST1,degrading,nan,nan,nan
52,HMDB0060507,MGST1,producing,nan,nan,nan
53,HMDB0060344,MGST1,degrading,nan,nan,nan
54,HMDB0002500,MGST1,producing,nan,nan,nan
55,HMDB0060479,MGST1,producing,nan,nan,nan
56,HMDB0059597,MGST1,degrading,nan,nan,nan
57,HMDB0060334,MGST1,degrading,nan,nan,nan
58,HMDB0060504,MGST1,producing,nan,nan,nan
59,HMDB0029593,MGST1,degrading,nan,nan,nan
60,HMDB0060343,MGST1,producing,nan,nan,nan
61,HMDB0060505,MGST1,producing,nan,nan,nan
62,HMDB0060452,MGST1,degrading,nan,nan,nan
63,HMDB0002306,MGST1,producing,nan,nan,nan
64,HMDB0060342,MGST1,producing,nan,nan,nan
65,HMDB0060333,MGST1,degrading,nan,nan,nan
66,HMDB0060506,MGST1,producing,nan,nan,nan
67,HMDB0060357,MGST1,degrading,nan,nan,nan
68,HMDB0002111,MGST1,producing,nan,nan,nan
69,HMDB0060423,MGST1,producing,nan,nan,nan
70,HMDB0060438,MGST1,degrading,nan,nan,nan
71,HMDB0060391,MGST1,producing,nan,nan,nan
72,HMDB0060091,MGST1,degrading,nan,nan,nan
73,HMDB0060358,MGST1,producing,nan,nan,nan
