,HMDB,GENE,direction,transport,transport_direction,reversibility
74,HMDB0060446,MGST1,degrading,nan,nan,nan
75,HMDB0060381,MGST1,producing,nan,nan,nan
76,HMDB0060448,MGST1,degrading,nan,nan,nan
77,HMDB0060326,MGST1,producing,nan,nan,nan
78,HMDB0060327,MGST1,producing,nan,nan,nan
79,HMDB0060331,MGST1,degrading,nan,nan,nan
80,HMDB0060329,MGST1,producing,nan,nan,nan
81,HMDB0060330,MGST1,producing,nan,nan,nan
82,HMDB0060332,MGST1,degrading,nan,nan,nan
83,HMDB0060302,MGST1,producing,nan,nan,nan
84,HMDB0060299,MGST1,producing,nan,nan,nan
85,HMDB0060301,MGST1,degrading,nan,nan,nan
86,HMDB0060300,MGST1,producing,nan,nan,nan
87,HMDB0006215,MGST1,degrading,nan,nan,nan
88,HMDB0000125,MGST1,degrading,nan,nan,nan
89,HMDB0003971,PFKFB4,producing,nan,nan,nan
90,HMDB0001341,PFKFB4,producing,nan,nan,nan
91,HMDB0000538,PFKFB4,degrading,nan,nan,nan
92,HMDB0001429,PFKFB4,producing,nan,nan,nan
93,HMDB0000124,PFKFB4,producing,nan,nan,nan
94,HMDB0002111,PFKFB4,degrading,nan,nan,nan
95,HMDB0001047,PFKFB4,degrading,nan,nan,nan
96,HMDB0001429,DDX18,producing,nan,nan,nan
97,HMDB0001341,DDX18,producing,nan,nan,nan
98,HMDB0002111,DDX18,degrading,nan,nan,nan
99,HMDB0000538,DDX18,degrading,nan,nan,nan
100,HMDB0001423,HMGCS2,producing,nan,nan,nan
101,HMDB0001375,HMGCS2,producing,nan,nan,nan
102,HMDB0001484,HMGCS2,degrading,nan,nan,nan
103,HMDB0002111,HMGCS2,degrading,nan,nan,nan
104,HMDB0001206,HMGCS2,degrading,nan,nan,nan
105,HMDB0001429,PPM1L,degrading,nan,nan,nan
106,HMDB0002111,PPM1L,degrading,nan,nan,nan
107,HMDB0000538,PAK6,degrading,unknown,unknown,irreversible
108,HMDB0001341,PAK6,producing,unknown,unknown,irreversible
109,HMDB0001088,ACSM5,producing,nan,nan,nan
110,HMDB0000039,ACSM5,degrading,nan,nan,nan
111,HMDB0000250,ACSM5,producing,nan,nan,nan
112,HMDB0000045,ACSM5,degrading,nan,nan,nan
113,HMDB0001423,ACSM5,degrading,nan,nan,nan
114,HMDB0000538,ACSM5,degrading,nan,nan,nan
115,HMDB0000250,FNTB,degrading,nan,nan,nan
116,HMDB0000961,FNTB,degrading,nan,nan,nan
117,HMDB0003971,PFKP,degrading,nan,nan,nan
118,HMDB0003335,PFKP,producing,nan,nan,nan
119,HMDB0000189,PFKP,degrading,nan,nan,nan
120,HMDB0000295,PFKP,producing,nan,nan,nan
121,HMDB0000285,PFKP,degrading,nan,nan,nan
122,HMDB0001546,PFKP,producing,nan,nan,nan
123,HMDB0000082,PFKP,degrading,nan,nan,nan
124,HMDB0006872,PFKP,producing,nan,nan,nan
125,HMDB0006873,PFKP,degrading,nan,nan,nan
126,HMDB0001058,PFKP,producing,nan,nan,nan
127,HMDB0001341,PFKP,producing,nan,nan,nan
128,HMDB0000124,PFKP,degrading,nan,nan,nan
129,HMDB0000538,PFKP,degrading,nan,nan,nan
130,HMDB0000939,TRMT61B,degrading,nan,nan,nan
131,HMDB0001185,TRMT61B,degrading,nan,nan,nan
132,HMDB0059660,PNPLA6,degrading,nan,nan,nan
133,HMDB0000086,PNPLA6,degrading,nan,nan,nan
134,HMDB0002111,PNPLA6,degrading,nan,nan,nan
135,HMDB0000220,THEM4,producing,nan,nan,nan
136,HMDB0001423,THEM4,producing,nan,nan,nan
137,HMDB0002111,THEM4,degrading,nan,nan,nan
138,HMDB0001338,THEM4,degrading,nan,nan,nan
139,HMDB0001423,GLYATL1,degrading,nan,nan,nan
140,HMDB0000641,GLYATL1,degrading,nan,nan,nan
141,HMDB0005998,CYP4F11,producing,nan,nan,nan
142,HMDB0001043,CYP4F11,degrading,nan,nan,nan
143,HMDB0000217,CYP4F11,producing,nan,nan,nan
144,HMDB0001509,CYP4F11,producing,nan,nan,nan
145,HMDB0059597,CYP4F11,degrading,nan,nan,nan
146,HMDB0000221,CYP4F11,degrading,nan,nan,nan
147,HMDB0001085,CYP4F11,degrading,nan,nan,nan
148,HMDB0002111,CYP4F11,degrading,nan,nan,nan
149,HMDB0001377,CYP4F11,degrading,nan,nan,nan
150,HMDB0003971,PFKFB3,producing,nan,nan,nan
151,HMDB0001341,PFKFB3,producing,nan,nan,nan
152,HMDB0000538,PFKFB3,degrading,nan,nan,nan
153,HMDB0001429,PFKFB3,producing,nan,nan,nan
154,HMDB0000124,PFKFB3,producing,nan,nan,nan
155,HMDB0002111,PFKFB3,degrading,nan,nan,nan
156,HMDB0001047,PFKFB3,degrading,nan,nan,nan
157,HMDB0001429,PTPMT1,degrading,nan,nan,nan
158,HMDB0002111,PTPMT1,degrading,nan,nan,nan
159,HMDB0004611,CYP7A1,producing,nan,nan,nan
160,HMDB0000077,CYP7A1,degrading,nan,nan,nan
161,HMDB0006281,CYP7A1,producing,nan,nan,nan
162,HMDB0002103,CYP7A1,degrading,nan,nan,nan
163,HMDB0059597,CYP7A1,degrading,nan,nan,nan
164,HMDB0002111,CYP7A1,producing,nan,nan,nan
165,HMDB0000217,CYP7A1,producing,nan,nan,nan
166,HMDB0001496,CYP7A1,producing,nan,nan,nan
167,HMDB0001377,CYP7A1,degrading,nan,nan,nan
168,HMDB0000221,CYP7A1,degrading,nan,nan,nan
169,HMDB0000067,CYP7A1,degrading,nan,nan,nan
170,HMDB0000248,DIO2,degrading,nan,nan,nan
171,HMDB0059597,DIO2,degrading,nan,nan,nan
172,HMDB0059634,DIO2,degrading,nan,nan,nan
173,HMDB0000265,DIO2,degrading,nan,nan,nan
174,HMDB0001275,ECHDC1,producing,nan,nan,nan
175,HMDB0002310,ECHDC1,degrading,nan,nan,nan
176,HMDB0001088,ECHDC1,producing,nan,nan,nan
177,HMDB0059619,ECHDC1,degrading,nan,nan,nan
178,HMDB0000042,PAFAH2,degrading,nan,nan,nan
179,HMDB0002111,PAFAH2,degrading,nan,nan,nan
180,HMDB0001429,DDX42,producing,nan,nan,nan
181,HMDB0001341,DDX42,producing,nan,nan,nan
182,HMDB0002111,DDX42,degrading,nan,nan,nan
183,HMDB0000538,DDX42,degrading,nan,nan,nan
184,HMDB0060508,CYP24A1,producing,nan,nan,nan
185,HMDB0059597,CYP24A1,degrading,nan,nan,nan
186,HMDB0060133,CYP24A1,producing,nan,nan,nan
187,HMDB0003550,CYP24A1,degrading,nan,nan,nan
188,HMDB0002111,CYP24A1,producing,nan,nan,nan
189,HMDB0000217,CYP24A1,producing,nan,nan,nan
190,HMDB0006228,CYP24A1,producing,nan,nan,nan
191,HMDB0001377,CYP24A1,degrading,nan,nan,nan
192,HMDB0000221,CYP24A1,degrading,nan,nan,nan
193,HMDB0001903,CYP24A1,degrading,nan,nan,nan
194,HMDB0002111,SF3B3,degrading,unknown,unknown,irreversible
195,HMDB0006857,SF3B3,producing,unknown,unknown,irreversible
196,HMDB0000122,SF3B3,producing,unknown,unknown,irreversible
197,HMDB0001429,DNA2,producing,nan,nan,nan
198,HMDB0001341,DNA2,producing,nan,nan,nan
199,HMDB0002111,DNA2,degrading,nan,nan,nan
200,HMDB0000538,DNA2,degrading,nan,nan,nan
201,HMDB0000250,SLC27A2,producing,nan,nan,nan
202,HMDB0000045,SLC27A2,degrading,nan,nan,nan
203,HMDB0001423,SLC27A2,degrading,nan,nan,nan
204,HMDB0000538,SLC27A2,degrading,nan,nan,nan
205,HMDB0001423,GTF3C4,degrading,nan,nan,nan
206,HMDB0001206,GTF3C4,degrading,nan,nan,nan
207,HMDB0000285,POLR2C,degrading,nan,nan,nan
208,HMDB0000082,POLR2C,degrading,nan,nan,nan
209,HMDB0001273,POLR2C,degrading,nan,nan,nan
210,HMDB0000250,POLR2C,degrading,nan,nan,nan
211,HMDB0000538,POLR2C,degrading,nan,nan,nan
212,HMDB0000244,ACP3,producing,nan,nan,nan
213,HMDB0001520,ACP3,degrading,nan,nan,nan
214,HMDB0001429,ACP3,degrading,nan,nan,nan
215,HMDB0002111,ACP3,degrading,nan,nan,nan
216,HMDB0000807,ACYP1,producing,nan,nan,nan
217,HMDB0001270,ACYP1,degrading,nan,nan,nan
218,HMDB0001870,ACYP1,producing,nan,nan,nan
219,HMDB0060440,ACYP1,degrading,nan,nan,nan
220,HMDB0000042,ACYP1,producing,nan,nan,nan
221,HMDB0001494,ACYP1,degrading,nan,nan,nan
222,HMDB0001429,ACYP1,degrading,nan,nan,nan
223,HMDB0002111,ACYP1,degrading,nan,nan,nan
224,HMDB0000051,TGM7,degrading,nan,nan,nan
225,HMDB0000174,FUCA2,degrading,nan,nan,nan
226,HMDB0002111,FUCA2,degrading,nan,nan,nan
227,HMDB0001429,PTPRA,degrading,nan,nan,nan
228,HMDB0002111,PTPRA,degrading,nan,nan,nan
229,HMDB0001429,SEPHS1,producing,nan,nan,nan
230,HMDB0003840,SEPHS1,producing,nan,nan,nan
231,HMDB0000045,SEPHS1,producing,nan,nan,nan
232,HMDB0002111,SEPHS1,degrading,nan,nan,nan
233,HMDB0011110,SEPHS1,degrading,nan,nan,nan
234,HMDB0000538,SEPHS1,degrading,nan,nan,nan
235,HMDB0000280,NAMPT,producing,nan,nan,nan
236,HMDB0001406,NAMPT,producing,nan,nan,nan
237,HMDB0000250,NAMPT,degrading,nan,nan,nan
238,HMDB0000229,NAMPT,degrading,nan,nan,nan
239,HMDB0001429,SMARCAD1,producing,nan,nan,nan
240,HMDB0001341,SMARCAD1,producing,nan,nan,nan
241,HMDB0002111,SMARCAD1,degrading,nan,nan,nan
242,HMDB0000538,SMARCAD1,degrading,nan,nan,nan
243,HMDB0001132,NMNAT1,degrading,nan,nan,nan
244,HMDB0001179,NMNAT1,producing,nan,nan,nan
245,HMDB0000902,NMNAT1,producing,nan,nan,nan
246,HMDB0000250,NMNAT1,producing,nan,nan,nan
247,HMDB0000229,NMNAT1,degrading,nan,nan,nan
248,HMDB0000538,NMNAT1,degrading,nan,nan,nan
249,HMDB0001429,CDC25A,degrading,nan,nan,nan
250,HMDB0002111,CDC25A,degrading,nan,nan,nan
251,HMDB0059597,GSR,producing,nan,nan,nan
252,HMDB0001487,GSR,producing,nan,nan,nan
253,HMDB0000902,GSR,degrading,nan,nan,nan
254,HMDB0000221,GSR,producing,nan,nan,nan
255,HMDB0003337,GSR,producing,nan,nan,nan
256,HMDB0000217,GSR,degrading,nan,nan,nan
257,HMDB0000125,GSR,degrading,nan,nan,nan
258,HMDB0060420,SULT2A1,producing,nan,nan,nan
259,HMDB0060419,SULT2A1,degrading,nan,nan,nan
260,HMDB0002580,SULT2A1,producing,nan,nan,nan
261,HMDB0000722,SULT2A1,degrading,nan,nan,nan
262,HMDB0002639,SULT2A1,producing,nan,nan,nan
263,HMDB0000061,SULT2A1,producing,nan,nan,nan
264,HMDB0000698,SULT2A1,degrading,nan,nan,nan
265,HMDB0001134,SULT2A1,degrading,nan,nan,nan
266,HMDB0000237,ACSS3,degrading,nan,nan,nan
267,HMDB0001275,ACSS3,producing,nan,nan,nan
268,HMDB0006806,ACSS3,degrading,nan,nan,nan
269,HMDB0001206,ACSS3,producing,nan,nan,nan
270,HMDB0000250,ACSS3,producing,nan,nan,nan
271,HMDB0000045,ACSS3,producing,nan,nan,nan
272,HMDB0001423,ACSS3,degrading,nan,nan,nan
273,HMDB0000042,ACSS3,degrading,nan,nan,nan
274,HMDB0000538,ACSS3,degrading,nan,nan,nan
275,HMDB0000142,ACY3,producing,nan,nan,nan
276,HMDB0060495,ACY3,degrading,nan,nan,nan
277,HMDB0000191,ACY3,producing,nan,nan,nan
278,HMDB0000042,ACY3,producing,nan,nan,nan
279,HMDB0002111,ACY3,degrading,nan,nan,nan
280,HMDB0000812,ACY3,degrading,nan,nan,nan
281,HMDB0000285,POLR3H,degrading,nan,nan,nan
282,HMDB0000082,POLR3H,degrading,nan,nan,nan
283,HMDB0001273,POLR3H,degrading,nan,nan,nan
284,HMDB0000250,POLR3H,degrading,nan,nan,nan
285,HMDB0000538,POLR3H,degrading,nan,nan,nan
286,HMDB0001062,GNPNAT1,producing,nan,nan,nan
287,HMDB0001423,GNPNAT1,producing,nan,nan,nan
288,HMDB0001254,GNPNAT1,degrading,nan,nan,nan
289,HMDB0001206,GNPNAT1,degrading,nan,nan,nan
290,HMDB0002704,IDUA,degrading,nan,nan,nan
291,HMDB0002111,IDUA,degrading,nan,nan,nan
292,HMDB0006216,TSPOAP1,degrading,unknown,unknown,irreversible
293,HMDB0059597,TSPOAP1,degrading,unknown,unknown,irreversible
294,HMDB0060338,TSPOAP1,producing,unknown,unknown,irreversible
295,HMDB0003598,TSPOAP1,producing,unknown,unknown,irreversible
296,HMDB0000305,TSPOAP1,producing,c->e,out,irreversible
297,HMDB0001358,TSPOAP1,degrading,unknown,unknown,irreversible
298,HMDB0002152,TSPOAP1,producing,unknown,unknown,irreversible
299,HMDB0000213,ISYNA1,producing,nan,nan,nan
300,HMDB0001401,ISYNA1,degrading,nan,nan,nan
301,HMDB0000939,PRDM7,degrading,nan,nan,nan
302,HMDB0001185,PRDM7,degrading,nan,nan,nan
303,HMDB0002111,FXN,producing,nan,nan,nan
304,HMDB0015531,FXN,degrading,nan,nan,nan
305,HMDB0001377,FXN,degrading,nan,nan,nan
306,HMDB0059597,FXN,degrading,nan,nan,nan
307,HMDB0000692,FXN,degrading,nan,nan,nan
308,HMDB0060402,DPYD,producing,nan,nan,nan
309,HMDB0014684,DPYD,degrading,nan,nan,nan
310,HMDB0000262,DPYD,producing,nan,nan,nan
311,HMDB0000079,DPYD,degrading,nan,nan,nan
312,HMDB0059597,DPYD,producing,nan,nan,nan
313,HMDB0000221,DPYD,producing,nan,nan,nan
314,HMDB0000300,DPYD,producing,nan,nan,nan
315,HMDB0000217,DPYD,degrading,nan,nan,nan
316,HMDB0000076,DPYD,degrading,nan,nan,nan
317,HMDB0061714,FABP3,producing,c->e,out,irreversible
318,HMDB0005060,FABP3,producing,c->e,out,irreversible
319,HMDB0002823,FABP3,producing,c->e,out,irreversible
320,HMDB0060039,FABP3,producing,c->e,out,irreversible
321,HMDB0001160,FABP3,producing,c->e,out,irreversible
322,HMDB0002884,FABP3,producing,c->e,out,irreversible
323,HMDB0002345,FABP3,producing,c->e,out,irreversible
324,HMDB0010378,FABP3,producing,c->e,out,irreversible
325,HMDB0000772,FABP3,producing,c->e,out,irreversible
326,HMDB0031046,FABP3,producing,c->e,out,irreversible
327,HMDB0000521,FABP3,producing,c->e,out,irreversible
328,HMDB0000910,FABP3,producing,c->e,out,irreversible
329,HMDB0000947,FABP3,producing,c->e,out,reversible
330,HMDB0000666,FABP3,producing,c->e,out,reversible
331,HMDB0000892,FABP3,producing,c->e,out,reversible
332,HMDB0000847,FABP3,producing,c->e,out,reversible
333,HMDB0002231,FABP3,producing,c->e,out,irreversible
334,HMDB0000039,FABP3,producing,c->e,out,reversible
335,HMDB0006547,FABP3,producing,unknown,out,irreversible
336,HMDB0000827,FABP3,producing,unknown,out,irreversible
337,HMDB0000826,FABP3,producing,unknown,out,irreversible
338,HMDB0003229,FABP3,producing,unknown,out,irreversible
339,HMDB0000220,FABP3,producing,unknown,out,irreversible
340,HMDB0002177,FABP3,producing,unknown,out,irreversible
341,HMDB0000207,FABP3,producing,unknown,out,irreversible
342,HMDB0000482,FABP3,producing,unknown,out,reversible
343,HMDB0002368,FABP3,producing,unknown,out,irreversible
344,HMDB0000806,FABP3,producing,unknown,out,irreversible
345,HMDB0002259,FABP3,producing,unknown,out,irreversible
346,HMDB0001388,FABP3,producing,unknown,out,irreversible
347,HMDB0000673,FABP3,producing,unknown,out,irreversible
348,HMDB0002003,FABP3,producing,unknown,out,irreversible
349,HMDB0000638,FABP3,producing,unknown,out,irreversible
350,HMDB0000535,FABP3,producing,unknown,out,reversible
351,HMDB0003073,FABP3,producing,unknown,out,irreversible
352,HMDB0001999,FABP3,producing,unknown,out,irreversible
353,HMDB0000573,FABP3,producing,unknown,out,irreversible
354,HMDB0002212,FABP3,producing,unknown,out,irreversible
355,HMDB0006528,FABP3,producing,unknown,out,irreversible
356,HMDB0002925,FABP3,producing,unknown,out,irreversible
357,HMDB0002183,FABP3,producing,unknown,out,irreversible
358,HMDB0000511,FABP3,producing,unknown,out,reversible
359,HMDB0003231,FABP3,producing,unknown,out,irreversible
360,HMDB0002068,FABP3,producing,unknown,out,irreversible
361,HMDB0002356,FABP3,producing,unknown,out,irreversible
362,HMDB0000944,FABP3,producing,unknown,out,irreversible
363,HMDB0001043,FABP3,producing,unknown,out,irreversible
364,HMDB0002226,FABP3,producing,unknown,out,irreversible
365,HMDB0013025,FABP3,producing,unknown,out,irreversible
366,HMDB0000250,CDS2,degrading,nan,nan,nan
367,HMDB0000082,CDS2,degrading,nan,nan,nan
368,HMDB0000250,UBE2Q2,degrading,nan,nan,nan
369,HMDB0000045,UBE2Q2,degrading,nan,nan,nan
370,HMDB0000538,UBE2Q2,degrading,nan,nan,nan
371,HMDB0001388,PLA2G4A,degrading,nan,nan,nan
372,HMDB0000673,PLA2G4A,degrading,nan,nan,nan
373,HMDB0001043,PLA2G4A,degrading,nan,nan,nan
374,HMDB0000086,PLA2G4A,degrading,nan,nan,nan
375,HMDB0002111,PLA2G4A,degrading,nan,nan,nan
376,HMDB0003971,GPI,producing,nan,nan,nan
377,HMDB0003498,GPI,producing,nan,nan,nan
378,HMDB0000124,GPI,producing,nan,nan,nan
379,HMDB0001401,GPI,degrading,nan,nan,nan
380,HMDB0005176,ALG8,degrading,nan,nan,nan
381,HMDB0001054,ALG8,degrading,nan,nan,nan
382,HMDB0000696,KYAT3,producing,nan,nan,nan
383,HMDB0060490,KYAT3,producing,nan,nan,nan
384,HMDB0001553,KYAT3,degrading,nan,nan,nan
385,HMDB0004113,KYAT3,degrading,nan,nan,nan
386,HMDB0004083,KYAT3,producing,nan,nan,nan
387,HMDB0011631,KYAT3,degrading,nan,nan,nan
388,HMDB0000123,KYAT3,producing,nan,nan,nan
389,HMDB0000119,KYAT3,degrading,nan,nan,nan
390,HMDB0000243,KYAT3,degrading,nan,nan,nan
391,HMDB0000051,KYAT3,degrading,nan,nan,nan
392,HMDB0002111,KYAT3,degrading,nan,nan,nan
393,HMDB0000148,KYAT3,producing,nan,nan,nan
394,HMDB0000978,KYAT3,producing,nan,nan,nan
395,HMDB0000208,KYAT3,degrading,nan,nan,nan
396,HMDB0000684,KYAT3,degrading,nan,nan,nan
397,HMDB0003947,FADS2B,degrading,unknown,unknown,irreversible
398,HMDB0000221,FADS2B,degrading,unknown,unknown,irreversible
399,HMDB0001521,FADS2B,degrading,unknown,unknown,irreversible
400,HMDB0001064,FADS2B,degrading,unknown,unknown,irreversible
401,HMDB0006529,FADS2B,degrading,unknown,unknown,irreversible
402,HMDB0001322,FADS2B,degrading,unknown,unknown,irreversible
403,HMDB0006290,FADS2B,degrading,unknown,unknown,irreversible
404,HMDB0001487,FADS2B,degrading,unknown,unknown,irreversible
405,HMDB0059597,FADS2B,degrading,unknown,unknown,irreversible
406,HMDB0001377,FADS2B,degrading,unknown,unknown,irreversible
407,HMDB0006243,FADS2B,producing,unknown,unknown,irreversible
408,HMDB0000902,FADS2B,producing,unknown,unknown,irreversible
409,HMDB0060311,FADS2B,producing,unknown,unknown,irreversible
410,HMDB0006519,FADS2B,producing,unknown,unknown,irreversible
411,HMDB0006523,FADS2B,producing,unknown,unknown,irreversible
412,HMDB0006368,FADS2B,producing,unknown,unknown,irreversible
413,HMDB0000217,FADS2B,producing,unknown,unknown,irreversible
414,HMDB0001967,PISD,degrading,nan,nan,nan
415,HMDB0060501,PISD,degrading,nan,nan,nan
416,HMDB0000148,GOT1L1,producing,nan,nan,nan
417,HMDB0000223,GOT1L1,producing,nan,nan,nan
418,HMDB0000208,GOT1L1,degrading,nan,nan,nan
419,HMDB0000191,GOT1L1,degrading,nan,nan,nan
420,HMDB0006901,COX15,producing,nan,nan,nan
421,HMDB0001162,COX15,degrading,nan,nan,nan
422,HMDB0060472,MAOA,degrading,nan,nan,nan
423,HMDB0014021,MAOA,degrading,nan,nan,nan
424,HMDB0000087,MAOA,producing,nan,nan,nan
425,HMDB0060462,MAOA,producing,nan,nan,nan
426,HMDB0005038,MAOA,degrading,nan,nan,nan
427,HMDB0004077,MAOA,producing,nan,nan,nan
428,HMDB0004076,MAOA,degrading,nan,nan,nan
429,HMDB0060289,MAOA,producing,nan,nan,nan
430,HMDB0060281,MAOA,degrading,nan,nan,nan
431,HMDB0004063,MAOA,degrading,nan,nan,nan
432,HMDB0004061,MAOA,producing,nan,nan,nan
433,HMDB0000819,MAOA,degrading,nan,nan,nan
434,HMDB0005175,MAOA,producing,nan,nan,nan
435,HMDB0000022,MAOA,degrading,nan,nan,nan
436,HMDB0004181,MAOA,producing,nan,nan,nan
437,HMDB0000898,MAOA,degrading,nan,nan,nan
438,HMDB0003791,MAOA,producing,nan,nan,nan
439,HMDB0000073,MAOA,degrading,nan,nan,nan
440,HMDB0004226,MAOA,producing,nan,nan,nan
441,HMDB0002064,MAOA,degrading,nan,nan,nan
442,HMDB0000164,MAOA,producing,nan,nan,nan
443,HMDB0000068,MAOA,degrading,nan,nan,nan
444,HMDB0004073,MAOA,producing,nan,nan,nan
445,HMDB0000259,MAOA,degrading,nan,nan,nan
446,HMDB0006236,MAOA,producing,nan,nan,nan
447,HMDB0012275,MAOA,degrading,nan,nan,nan
448,HMDB0006242,MAOA,producing,nan,nan,nan
449,HMDB0000216,MAOA,degrading,nan,nan,nan
450,HMDB0001167,MAOA,producing,nan,nan,nan
451,HMDB0002134,MAOA,degrading,nan,nan,nan
452,HMDB0003767,MAOA,producing,nan,nan,nan
453,HMDB0000306,MAOA,degrading,nan,nan,nan
454,HMDB0000051,MAOA,producing,nan,nan,nan
455,HMDB0001190,MAOA,producing,nan,nan,nan
456,HMDB0000303,MAOA,degrading,nan,nan,nan
457,HMDB0003125,MAOA,degrading,nan,nan,nan
458,HMDB0001377,MAOA,degrading,nan,nan,nan
459,HMDB0002111,MAOA,degrading,nan,nan,nan
460,HMDB0001513,RPN1,degrading,nan,nan,nan
461,HMDB0001423,KAT6A,degrading,nan,nan,nan
462,HMDB0001206,KAT6A,degrading,nan,nan,nan
463,HMDB0002111,CYP19A1,degrading,nan,nan,nan
464,HMDB0001377,CYP19A1,degrading,nan,nan,nan
465,HMDB0000250,GUCY2D,producing,nan,nan,nan
466,HMDB0001314,GUCY2D,producing,nan,nan,nan
467,HMDB0001273,GUCY2D,degrading,nan,nan,nan
468,HMDB0060413,TPMT,producing,nan,nan,nan
469,HMDB0060415,TPMT,degrading,nan,nan,nan
470,HMDB0060414,TPMT,producing,nan,nan,nan
471,HMDB0060416,TPMT,degrading,nan,nan,nan
472,HMDB0060412,TPMT,producing,nan,nan,nan
473,HMDB0015167,TPMT,degrading,nan,nan,nan
474,HMDB0000939,TPMT,degrading,nan,nan,nan
475,HMDB0001185,TPMT,degrading,nan,nan,nan
476,HMDB0001967,PAICS,producing,nan,nan,nan
477,HMDB0001235,PAICS,producing,nan,nan,nan
478,HMDB0000797,PAICS,producing,nan,nan,nan
479,HMDB0001429,PAICS,producing,nan,nan,nan
480,HMDB0001341,PAICS,producing,nan,nan,nan
481,HMDB0000191,PAICS,degrading,nan,nan,nan
482,HMDB0006273,PAICS,degrading,nan,nan,nan
483,HMDB0000538,PAICS,degrading,nan,nan,nan
484,HMDB0000250,SARS1,producing,nan,nan,nan
485,HMDB0000045,SARS1,degrading,nan,nan,nan
486,HMDB0000187,SARS1,degrading,nan,nan,nan
