HMDB,GENE,direction,Source
HMDB0000902,HSD3B1,degrading,Experimental
HMDB0001487,HSD3B1,degrading,Experimental
HMDB0000077,HSD3B1,degrading,Experimental
HMDB0000053,HSD3B1,producing,Experimental
HMDB0001487,HSD3B1,producing,Experimental
HMDB0000253,HSD3B1,degrading,Experimental
HMDB0001830,HSD3B1,producing,Experimental
HMDB0000234,HSD3B1,degrading,Experimental
HMDB0003818,HSD3B1,producing,Experimental
HMDB0000902,HSD3B1,producing,Experimental
HMDB0000063,HSD3B1,degrading,Experimental
HMDB0006760,HSD3B1,producing,Experimental
HMDB0000363,HSD3B1,degrading,Experimental
HMDB0000374,HSD3B1,producing,Experimental
HMDB0004026,HSD3B1,degrading,Experimental
HMDB0000016,HSD3B1,producing,Experimental
HMDB0000352,HSD3B1,producing,Experimental
HMDB0000015,HSD3B1,degrading,Experimental
HMDB0006762,HSD3B1,producing,Experimental
HMDB0000902,HSD3B2,degrading,Experimental
HMDB0001487,HSD3B2,degrading,Experimental
HMDB0000077,HSD3B2,degrading,Experimental
HMDB0000053,HSD3B2,producing,Experimental
HMDB0001487,HSD3B2,producing,Experimental
HMDB0000253,HSD3B2,degrading,Experimental
HMDB0001830,HSD3B2,producing,Experimental
HMDB0000234,HSD3B2,degrading,Experimental
HMDB0003818,HSD3B2,producing,Experimental
HMDB0000902,HSD3B2,producing,Experimental
HMDB0000063,HSD3B2,degrading,Experimental
HMDB0006760,HSD3B2,producing,Experimental
HMDB0000363,HSD3B2,degrading,Experimental
HMDB0000374,HSD3B2,producing,Experimental
HMDB0004026,HSD3B2,degrading,Experimental
HMDB0000016,HSD3B2,producing,Experimental
HMDB0000352,HSD3B2,producing,Experimental
HMDB0000015,HSD3B2,degrading,Experimental
HMDB0006762,HSD3B2,producing,Experimental
HMDB0000902,HSD3B7,degrading,Experimental
HMDB0001487,HSD3B7,degrading,Experimental
HMDB0001993,HSD3B7,producing,Experimental
HMDB0001487,HSD3B7,producing,Experimental
HMDB0001496,HSD3B7,degrading,Experimental
HMDB0060136,HSD3B7,degrading,Experimental
HMDB0006280,HSD3B7,degrading,Experimental
HMDB0006281,HSD3B7,degrading,Experimental
HMDB0012459,HSD3B7,producing,Experimental
HMDB0012454,HSD3B7,degrading,Experimental
HMDB0001476,HAAO,degrading,Experimental
HMDB0001330,HAAO,producing,Experimental
HMDB0000023,HIBADH,degrading,Experimental
HMDB0000902,HIBADH,degrading,Experimental
HMDB0001172,HIBADH,producing,Experimental
HMDB0001487,HIBADH,producing,Experimental
HMDB0002217,HIBADH,producing,Experimental
HMDB0000045,NT5C1A,degrading,Experimental
HMDB0000050,NT5C1A,producing,Experimental
HMDB0000095,NT5C1A,degrading,Experimental
HMDB0000089,NT5C1A,producing,Experimental
HMDB0000288,NT5C1A,degrading,Experimental
HMDB0000296,NT5C1A,producing,Experimental
HMDB0000175,NT5C1A,degrading,Experimental
HMDB0000195,NT5C1A,producing,Experimental
HMDB0001397,NT5C1A,degrading,Experimental
HMDB0000133,NT5C1A,producing,Experimental
HMDB0001227,NT5C1A,degrading,Experimental
HMDB0000273,NT5C1A,producing,Experimental
HMDB0001202,NT5C1A,degrading,Experimental
HMDB0000014,NT5C1A,producing,Experimental
HMDB0001044,NT5C1A,degrading,Experimental
HMDB0000085,NT5C1A,producing,Experimental
HMDB0000905,NT5C1A,degrading,Experimental
HMDB0000101,NT5C1A,producing,Experimental
HMDB0000229,NT5C1A,degrading,Experimental
HMDB0000855,NT5C1A,producing,Experimental
HMDB0001554,NT5C1A,degrading,Experimental
HMDB0000299,NT5C1A,producing,Experimental
HMDB0001132,NT5C1A,degrading,Experimental
HMDB0006809,NT5C1A,producing,Experimental
HMDB0000045,NT5C1B,degrading,Experimental
HMDB0000050,NT5C1B,producing,Experimental
HMDB0000095,NT5C1B,degrading,Experimental
HMDB0000089,NT5C1B,producing,Experimental
HMDB0000288,NT5C1B,degrading,Experimental
HMDB0000296,NT5C1B,producing,Experimental
HMDB0000175,NT5C1B,degrading,Experimental
HMDB0000195,NT5C1B,producing,Experimental
HMDB0001397,NT5C1B,degrading,Experimental
HMDB0000133,NT5C1B,producing,Experimental
HMDB0001227,NT5C1B,degrading,Experimental
HMDB0000273,NT5C1B,producing,Experimental
HMDB0001202,NT5C1B,degrading,Experimental
HMDB0000014,NT5C1B,producing,Experimental
HMDB0001044,NT5C1B,degrading,Experimental
HMDB0000085,NT5C1B,producing,Experimental
HMDB0000905,NT5C1B,degrading,Experimental
HMDB0000101,NT5C1B,producing,Experimental
HMDB0000229,NT5C1B,degrading,Experimental
HMDB0000855,NT5C1B,producing,Experimental
HMDB0001554,NT5C1B,degrading,Experimental
HMDB0000299,NT5C1B,producing,Experimental
HMDB0001132,NT5C1B,degrading,Experimental
HMDB0006809,NT5C1B,producing,Experimental
HMDB0000045,NT5C3,degrading,Experimental
HMDB0000050,NT5C3,producing,Experimental
HMDB0000095,NT5C3,degrading,Experimental
HMDB0000089,NT5C3,producing,Experimental
HMDB0000288,NT5C3,degrading,Experimental
HMDB0000296,NT5C3,producing,Experimental
HMDB0000175,NT5C3,degrading,Experimental
HMDB0000195,NT5C3,producing,Experimental
HMDB0001397,NT5C3,degrading,Experimental
HMDB0000133,NT5C3,producing,Experimental
HMDB0001227,NT5C3,degrading,Experimental
HMDB0000273,NT5C3,producing,Experimental
HMDB0001202,NT5C3,degrading,Experimental
HMDB0000014,NT5C3,producing,Experimental
HMDB0001044,NT5C3,degrading,Experimental
HMDB0000085,NT5C3,producing,Experimental
HMDB0000905,NT5C3,degrading,Experimental
HMDB0000101,NT5C3,producing,Experimental
HMDB0000229,NT5C3,degrading,Experimental
HMDB0000855,NT5C3,producing,Experimental
HMDB0001554,NT5C3,degrading,Experimental
HMDB0000299,NT5C3,producing,Experimental
HMDB0001132,NT5C3,degrading,Experimental
HMDB0006809,NT5C3,producing,Experimental
HMDB0000045,NT5C2,degrading,Experimental
HMDB0000050,NT5C2,producing,Experimental
HMDB0000095,NT5C2,degrading,Experimental
HMDB0000089,NT5C2,producing,Experimental
HMDB0000288,NT5C2,degrading,Experimental
HMDB0000296,NT5C2,producing,Experimental
HMDB0000175,NT5C2,degrading,Experimental
HMDB0000195,NT5C2,producing,Experimental
HMDB0001397,NT5C2,degrading,Experimental
HMDB0000133,NT5C2,producing,Experimental
HMDB0001227,NT5C2,degrading,Experimental
HMDB0000273,NT5C2,producing,Experimental
HMDB0001202,NT5C2,degrading,Experimental
HMDB0000014,NT5C2,producing,Experimental
HMDB0001044,NT5C2,degrading,Experimental
HMDB0000085,NT5C2,producing,Experimental
HMDB0000905,NT5C2,degrading,Experimental
HMDB0000101,NT5C2,producing,Experimental
HMDB0000229,NT5C2,degrading,Experimental
HMDB0000855,NT5C2,producing,Experimental
HMDB0001554,NT5C2,degrading,Experimental
HMDB0000299,NT5C2,producing,Experimental
HMDB0001132,NT5C2,degrading,Experimental
HMDB0006809,NT5C2,producing,Experimental
HMDB0000045,NT5E,degrading,Experimental
HMDB0000050,NT5E,producing,Experimental
HMDB0000095,NT5E,degrading,Experimental
HMDB0000089,NT5E,producing,Experimental
HMDB0000288,NT5E,degrading,Experimental
HMDB0000296,NT5E,producing,Experimental
HMDB0000175,NT5E,degrading,Experimental
HMDB0000195,NT5E,producing,Experimental
HMDB0001397,NT5E,degrading,Experimental
HMDB0000133,NT5E,producing,Experimental
HMDB0001227,NT5E,degrading,Experimental
HMDB0000273,NT5E,producing,Experimental
HMDB0001202,NT5E,degrading,Experimental
HMDB0000014,NT5E,producing,Experimental
HMDB0001044,NT5E,degrading,Experimental
HMDB0000085,NT5E,producing,Experimental
HMDB0000905,NT5E,degrading,Experimental
HMDB0000101,NT5E,producing,Experimental
HMDB0000229,NT5E,degrading,Experimental
HMDB0000855,NT5E,producing,Experimental
HMDB0001554,NT5E,degrading,Experimental
HMDB0000299,NT5E,producing,Experimental
HMDB0001132,NT5E,degrading,Experimental
HMDB0006809,NT5E,producing,Experimental
HMDB0001316,PGD,degrading,Experimental
HMDB0000217,PGD,degrading,Experimental
HMDB0000618,PGD,producing,Experimental
HMDB0000221,PGD,producing,Experimental
HMDB0001316,PGLS,degrading,Experimental
HMDB0001127,PGLS,degrading,Experimental
HMDB0001316,PGLS,producing,Experimental
HMDB0000302,A4GALT,degrading,Experimental
HMDB0000295,A4GALT,degrading,Experimental
HMDB0007788,AADAC,degrading,Experimental
HMDB0000538,AACS,degrading,Experimental
HMDB0000060,AACS,degrading,Experimental
HMDB0001423,AACS,degrading,Experimental
HMDB0000045,AACS,producing,Experimental
HMDB0001484,AACS,producing,Experimental
HMDB0000684,AADAT,degrading,Experimental
HMDB0000208,AADAT,degrading,Experimental
HMDB0000148,AADAT,producing,Experimental
HMDB0000510,AADAT,degrading,Experimental
HMDB0000225,AADAT,producing,Experimental
HMDB0011631,AADAT,degrading,Experimental
HMDB0000217,AASS,degrading,Experimental
HMDB0000182,AASS,degrading,Experimental
HMDB0000208,AASS,producing,Experimental
HMDB0000221,AASS,producing,Experimental
HMDB0000902,AASS,degrading,Experimental
HMDB0000148,AASS,degrading,Experimental
HMDB0001263,AASS,producing,Experimental
HMDB0001487,AASS,producing,Experimental
HMDB0000279,AASS,degrading,Experimental
HMDB0000182,AASS,producing,Experimental
HMDB0000148,AASS,producing,Experimental
HMDB0000191,GOT1L1,degrading,Experimental
HMDB0000208,GOT1L1,degrading,Experimental
HMDB0000223,GOT1L1,producing,Experimental
HMDB0000148,GOT1L1,producing,Experimental
HMDB0000191,GOT1,degrading,Experimental
HMDB0000208,GOT1,degrading,Experimental
HMDB0000223,GOT1,producing,Experimental
HMDB0000148,GOT1,producing,Experimental
HMDB0000159,GOT1,degrading,Experimental
HMDB0000205,GOT1,producing,Experimental
HMDB0000158,GOT1,degrading,Experimental
HMDB0000707,GOT1,producing,Experimental
HMDB0000574,GOT1,degrading,Experimental
HMDB0001368,GOT1,producing,Experimental
HMDB0002757,GOT1,degrading,Experimental
HMDB0004045,GOT1,producing,Experimental
HMDB0000996,GOT1,degrading,Experimental
HMDB0002273,GOT1,degrading,Experimental
HMDB0000191,GOT2,degrading,Experimental
HMDB0000208,GOT2,degrading,Experimental
HMDB0000223,GOT2,producing,Experimental
HMDB0000148,GOT2,producing,Experimental
HMDB0000684,GOT2,degrading,Experimental
HMDB0000159,GOT2,degrading,Experimental
HMDB0000205,GOT2,producing,Experimental
HMDB0000158,GOT2,degrading,Experimental
HMDB0000707,GOT2,producing,Experimental
HMDB0000574,GOT2,degrading,Experimental
HMDB0001368,GOT2,producing,Experimental
HMDB0002757,GOT2,degrading,Experimental
HMDB0004045,GOT2,producing,Experimental
HMDB0000996,GOT2,degrading,Experimental
HMDB0002273,GOT2,degrading,Experimental
HMDB0000089,APOBEC3A,degrading,Experimental
HMDB0000296,APOBEC3A,producing,Experimental
HMDB0000089,APOBEC3B,degrading,Experimental
HMDB0000296,APOBEC3B,producing,Experimental
HMDB0000089,APOBEC3C,degrading,Experimental
HMDB0000296,APOBEC3C,producing,Experimental
HMDB0000089,APOBEC3D,degrading,Experimental
HMDB0000296,APOBEC3D,producing,Experimental
HMDB0000089,APOBEC3F,degrading,Experimental
HMDB0000296,APOBEC3F,producing,Experimental
HMDB0000014,APOBEC3G,degrading,Experimental
HMDB0000012,APOBEC3G,producing,Experimental
HMDB0000089,APOBEC3H,degrading,Experimental
HMDB0000296,APOBEC3H,producing,Experimental
HMDB0000131,ABHD12,degrading,Experimental
HMDB0001423,ABHD5,degrading,Experimental
HMDB0000131,ABHD6,degrading,Experimental
HMDB0000127,ABHD10,producing,Experimental
HMDB0000870,ABP1,degrading,Experimental
HMDB0003905,ABP1,producing,Experimental
HMDB0001414,ABP1,degrading,Experimental
HMDB0001080,ABP1,producing,Experimental
HMDB0000303,ABP1,degrading,Experimental
HMDB0001190,ABP1,producing,Experimental
HMDB0000538,ACACA,degrading,Experimental
HMDB0001206,ACACA,degrading,Experimental
HMDB0000595,ACACA,degrading,Experimental
HMDB0001341,ACACA,producing,Experimental
HMDB0001175,ACACA,producing,Experimental
HMDB0001341,ACACA,degrading,Experimental
HMDB0001175,ACACA,degrading,Experimental
HMDB0000538,ACACB,degrading,Experimental
HMDB0001206,ACACB,degrading,Experimental
HMDB0000595,ACACB,degrading,Experimental
HMDB0001341,ACACB,producing,Experimental
HMDB0001175,ACACB,producing,Experimental
HMDB0001341,ACACB,degrading,Experimental
HMDB0001175,ACACB,degrading,Experimental
HMDB0001243,ACAD8,degrading,Experimental
HMDB0001011,ACAD8,degrading,Experimental
HMDB0001338,ACADL,degrading,Experimental
HMDB0001248,ACADL,degrading,Experimental
HMDB0001197,ACADL,producing,Experimental
HMDB0001070,ACADL,degrading,Experimental
HMDB0003571,ACADL,degrading,Experimental
HMDB0003712,ACADL,producing,Experimental
HMDB0001521,ACADL,degrading,Experimental
HMDB0003946,ACADL,producing,Experimental
HMDB0002845,ACADL,degrading,Experimental
HMDB0003944,ACADL,producing,Experimental
HMDB0006404,ACADL,degrading,Experimental
HMDB0003948,ACADL,producing,Experimental
HMDB0001275,ACADM,degrading,Experimental
HMDB0001248,ACADM,degrading,Experimental
HMDB0001197,ACADM,producing,Experimental
HMDB0002307,ACADM,producing,Experimental
HMDB0001088,ACADM,degrading,Experimental
HMDB0002009,ACADM,producing,Experimental
HMDB0001338,ACADM,degrading,Experimental
HMDB0001243,ACADM,degrading,Experimental
HMDB0001011,ACADM,degrading,Experimental
HMDB0002054,ACADM,degrading,Experimental
HMDB0001070,ACADM,degrading,Experimental
HMDB0003571,ACADM,degrading,Experimental
HMDB0003712,ACADM,producing,Experimental
HMDB0001521,ACADM,degrading,Experimental
HMDB0003946,ACADM,producing,Experimental
HMDB0001113,ACADM,degrading,Experimental
HMDB0001493,ACADM,producing,Experimental
HMDB0002307,ACADM,degrading,Experimental
HMDB0002845,ACADM,degrading,Experimental
HMDB0003944,ACADM,producing,Experimental
HMDB0006404,ACADM,degrading,Experimental
HMDB0003948,ACADM,producing,Experimental
HMDB0001088,ACADS,degrading,Experimental
HMDB0002009,ACADS,degrading,Experimental
HMDB0000902,ACADS,degrading,Experimental
HMDB0002009,ACADS,producing,Experimental
HMDB0001487,ACADS,producing,Experimental
HMDB0001248,ACADS,degrading,Experimental
HMDB0001197,ACADS,producing,Experimental
HMDB0001243,ACADS,degrading,Experimental
HMDB0001011,ACADS,degrading,Experimental
HMDB0001041,ACADS,degrading,Experimental
HMDB0002054,ACADS,degrading,Experimental
HMDB0002845,ACADS,degrading,Experimental
HMDB0003944,ACADS,producing,Experimental
HMDB0001338,ACADVL,degrading,Experimental
HMDB0001248,ACADVL,degrading,Experimental
HMDB0001197,ACADVL,producing,Experimental
HMDB0000538,ACSBG1,degrading,Experimental
HMDB0001423,ACSBG1,degrading,Experimental
HMDB0000045,ACSBG1,degrading,Experimental
HMDB0000220,ACSBG1,degrading,Experimental
HMDB0000045,ACSBG1,producing,Experimental
HMDB0001338,ACSBG1,producing,Experimental
