HMDB,GENE,direction,Source
HMDB0000538,ACSBG2,degrading,Experimental
HMDB0001423,ACSBG2,degrading,Experimental
HMDB0000045,ACSBG2,degrading,Experimental
HMDB0000220,ACSBG2,degrading,Experimental
HMDB0000045,ACSBG2,producing,Experimental
HMDB0001338,ACSBG2,producing,Experimental
HMDB0001041,ACADSB,degrading,Experimental
HMDB0001088,ACADSB,degrading,Experimental
HMDB0001248,ACADSB,degrading,Experimental
HMDB0001197,ACADSB,producing,Experimental
HMDB0002009,ACADSB,producing,Experimental
HMDB0001243,ACADSB,degrading,Experimental
HMDB0001011,ACADSB,degrading,Experimental
HMDB0002054,ACADSB,degrading,Experimental
HMDB0002845,ACADSB,degrading,Experimental
HMDB0003944,ACADSB,producing,Experimental
HMDB0000159,ACE2,producing,Experimental
HMDB0000252,ACER1,degrading,Experimental
HMDB0000269,ACER1,degrading,Experimental
HMDB0000252,ACER2,degrading,Experimental
HMDB0000269,ACER2,degrading,Experimental
HMDB0000269,ACER3,degrading,Experimental
HMDB0000895,ACHE,degrading,Experimental
HMDB0000097,ACHE,producing,Experimental
HMDB0000042,ACHE,producing,Experimental
HMDB0001341,ACLY,degrading,Experimental
HMDB0001206,ACLY,degrading,Experimental
HMDB0000223,ACLY,degrading,Experimental
HMDB0000538,ACLY,producing,Experimental
HMDB0000094,ACLY,producing,Experimental
HMDB0001423,ACLY,producing,Experimental
HMDB0000538,ACLY,degrading,Experimental
HMDB0000094,ACLY,degrading,Experimental
HMDB0001423,ACLY,degrading,Experimental
HMDB0001341,ACLY,producing,Experimental
HMDB0001206,ACLY,producing,Experimental
HMDB0000223,ACLY,producing,Experimental
HMDB0001330,ACMSD,degrading,Experimental
HMDB0001206,ACOT12,degrading,Experimental
HMDB0001423,ACOT12,producing,Experimental
HMDB0000042,ACOT12,producing,Experimental
HMDB0001338,THEM5,degrading,Experimental
HMDB0001423,THEM5,producing,Experimental
HMDB0000220,THEM5,producing,Experimental
HMDB0000094,ACO1,degrading,Experimental
HMDB0000193,ACO1,producing,Experimental
HMDB0000072,ACO1,producing,Experimental
HMDB0000193,ACO1,degrading,Experimental
HMDB0001114,SCD,degrading,Experimental
HMDB0001322,SCD,degrading,Experimental
HMDB0000094,ACO2,degrading,Experimental
HMDB0000193,ACO2,producing,Experimental
HMDB0000072,ACO2,producing,Experimental
HMDB0000193,ACO2,degrading,Experimental
HMDB0001338,ACOT1,degrading,Experimental
HMDB0001423,ACOT1,producing,Experimental
HMDB0000220,ACOT1,producing,Experimental
HMDB0001114,ACOT1,degrading,Experimental
HMDB0000827,ACOT1,producing,Experimental
HMDB0004258,ACOT1,degrading,Experimental
HMDB0002212,ACOT1,producing,Experimental
HMDB0001322,ACOT1,degrading,Experimental
HMDB0000207,ACOT1,producing,Experimental
HMDB0001064,ACOT1,degrading,Experimental
HMDB0000673,ACOT1,producing,Experimental
HMDB0006290,ACOT1,degrading,Experimental
HMDB0001388,ACOT1,producing,Experimental
HMDB0060311,ACOT1,degrading,Experimental
HMDB0001999,ACOT1,producing,Experimental
HMDB0002183,ACOT1,producing,Experimental
HMDB0006368,ACOT1,degrading,Experimental
HMDB0003073,ACOT1,producing,Experimental
HMDB0002925,ACOT1,producing,Experimental
HMDB0006523,ACOT1,degrading,Experimental
HMDB0001043,ACOT1,producing,Experimental
HMDB0001275,ACOT1,degrading,Experimental
HMDB0001338,ACOT2,degrading,Experimental
HMDB0001423,ACOT2,producing,Experimental
HMDB0000220,ACOT2,producing,Experimental
HMDB0001114,ACOT2,degrading,Experimental
HMDB0000827,ACOT2,producing,Experimental
HMDB0004258,ACOT2,degrading,Experimental
HMDB0002212,ACOT2,producing,Experimental
HMDB0001322,ACOT2,degrading,Experimental
HMDB0000207,ACOT2,producing,Experimental
HMDB0001064,ACOT2,degrading,Experimental
HMDB0000673,ACOT2,producing,Experimental
HMDB0006290,ACOT2,degrading,Experimental
HMDB0001388,ACOT2,producing,Experimental
HMDB0060311,ACOT2,degrading,Experimental
HMDB0001999,ACOT2,producing,Experimental
HMDB0002183,ACOT2,producing,Experimental
HMDB0006368,ACOT2,degrading,Experimental
HMDB0003073,ACOT2,producing,Experimental
HMDB0002925,ACOT2,producing,Experimental
HMDB0006523,ACOT2,degrading,Experimental
HMDB0001043,ACOT2,producing,Experimental
HMDB0001275,ACOT2,degrading,Experimental
HMDB0001338,ACOT4,degrading,Experimental
HMDB0001423,ACOT4,producing,Experimental
HMDB0000220,ACOT4,producing,Experimental
HMDB0001114,ACOT4,degrading,Experimental
HMDB0000827,ACOT4,producing,Experimental
HMDB0004258,ACOT4,degrading,Experimental
HMDB0002212,ACOT4,producing,Experimental
HMDB0001322,ACOT4,degrading,Experimental
HMDB0000207,ACOT4,producing,Experimental
HMDB0001064,ACOT4,degrading,Experimental
HMDB0000673,ACOT4,producing,Experimental
HMDB0006290,ACOT4,degrading,Experimental
HMDB0001388,ACOT4,producing,Experimental
HMDB0060311,ACOT4,degrading,Experimental
HMDB0001999,ACOT4,producing,Experimental
HMDB0002183,ACOT4,producing,Experimental
HMDB0006368,ACOT4,degrading,Experimental
HMDB0003073,ACOT4,producing,Experimental
HMDB0002925,ACOT4,producing,Experimental
HMDB0006523,ACOT4,degrading,Experimental
HMDB0001043,ACOT4,producing,Experimental
HMDB0001275,ACOT4,degrading,Experimental
HMDB0001374,ACOT8,degrading,Experimental
HMDB0000619,ACOT8,producing,Experimental
HMDB0001423,ACOT8,producing,Experimental
HMDB0000518,ACOT8,degrading,Experimental
HMDB0001423,ACOT8,degrading,Experimental
HMDB0006292,ACOT8,producing,Experimental
HMDB0001088,ACOX1,degrading,Experimental
HMDB0001248,ACOX1,degrading,Experimental
HMDB0001197,ACOX1,producing,Experimental
HMDB0002009,ACOX1,producing,Experimental
HMDB0001338,ACOX1,degrading,Experimental
HMDB0001070,ACOX1,degrading,Experimental
HMDB0003571,ACOX1,degrading,Experimental
HMDB0003712,ACOX1,producing,Experimental
HMDB0001521,ACOX1,degrading,Experimental
HMDB0003946,ACOX1,producing,Experimental
HMDB0002845,ACOX1,degrading,Experimental
HMDB0003944,ACOX1,producing,Experimental
HMDB0006404,ACOX1,degrading,Experimental
HMDB0003948,ACOX1,producing,Experimental
HMDB0006243,ACOX1,degrading,Experimental
HMDB0006260,ACOX1,producing,Experimental
HMDB0060307,ACOX2,degrading,Experimental
HMDB0006889,ACOX2,degrading,Experimental
HMDB0060306,ACOX2,degrading,Experimental
HMDB0006895,ACOX2,degrading,Experimental
HMDB0001088,ACOX3,degrading,Experimental
HMDB0001248,ACOX3,degrading,Experimental
HMDB0001197,ACOX3,producing,Experimental
HMDB0002009,ACOX3,producing,Experimental
HMDB0001338,ACOX3,degrading,Experimental
HMDB0001070,ACOX3,degrading,Experimental
HMDB0003571,ACOX3,degrading,Experimental
HMDB0003712,ACOX3,producing,Experimental
HMDB0001521,ACOX3,degrading,Experimental
HMDB0003946,ACOX3,producing,Experimental
HMDB0002845,ACOX3,degrading,Experimental
HMDB0003944,ACOX3,producing,Experimental
HMDB0006404,ACOX3,degrading,Experimental
HMDB0003948,ACOX3,producing,Experimental
HMDB0006243,ACOX3,degrading,Experimental
HMDB0006260,ACOX3,producing,Experimental
HMDB0000538,ACSM2A,degrading,Experimental
HMDB0001423,ACSM2A,degrading,Experimental
HMDB0000045,ACSM2A,degrading,Experimental
HMDB0000039,ACSM2A,degrading,Experimental
HMDB0000045,ACSM2A,producing,Experimental
HMDB0001088,ACSM2A,producing,Experimental
HMDB0000538,ACSM2B,degrading,Experimental
HMDB0001423,ACSM2B,degrading,Experimental
HMDB0000045,ACSM2B,degrading,Experimental
HMDB0000039,ACSM2B,degrading,Experimental
HMDB0000045,ACSM2B,producing,Experimental
HMDB0001088,ACSM2B,producing,Experimental
HMDB0000538,ACSS1,degrading,Experimental
HMDB0000042,ACSS1,degrading,Experimental
HMDB0001423,ACSS1,degrading,Experimental
HMDB0000045,ACSS1,producing,Experimental
HMDB0001206,ACSS1,producing,Experimental
HMDB0006880,ACSS1,degrading,Experimental
HMDB0006880,ACSS1,producing,Experimental
HMDB0006806,ACSS1,degrading,Experimental
HMDB0001275,ACSS1,producing,Experimental
HMDB0000237,ACSS1,degrading,Experimental
HMDB0006806,ACSS1,producing,Experimental
HMDB0000538,ACSS2,degrading,Experimental
HMDB0000042,ACSS2,degrading,Experimental
HMDB0001423,ACSS2,degrading,Experimental
HMDB0000045,ACSS2,producing,Experimental
HMDB0001206,ACSS2,producing,Experimental
HMDB0006880,ACSS2,degrading,Experimental
HMDB0006880,ACSS2,producing,Experimental
HMDB0006806,ACSS2,degrading,Experimental
HMDB0001275,ACSS2,producing,Experimental
HMDB0000237,ACSS2,degrading,Experimental
HMDB0006806,ACSS2,producing,Experimental
HMDB0000538,ACSL1,degrading,Experimental
HMDB0001423,ACSL1,degrading,Experimental
HMDB0000045,ACSL1,degrading,Experimental
HMDB0000220,ACSL1,degrading,Experimental
HMDB0000045,ACSL1,producing,Experimental
HMDB0001338,ACSL1,producing,Experimental
HMDB0000538,ACSL3,degrading,Experimental
HMDB0001423,ACSL3,degrading,Experimental
HMDB0000045,ACSL3,degrading,Experimental
HMDB0000220,ACSL3,degrading,Experimental
HMDB0000045,ACSL3,producing,Experimental
HMDB0001338,ACSL3,producing,Experimental
HMDB0000538,ACSL4,degrading,Experimental
HMDB0001423,ACSL4,degrading,Experimental
HMDB0000045,ACSL4,degrading,Experimental
HMDB0000220,ACSL4,degrading,Experimental
HMDB0000045,ACSL4,producing,Experimental
HMDB0001338,ACSL4,producing,Experimental
HMDB0000538,ACSL5,degrading,Experimental
HMDB0001423,ACSL5,degrading,Experimental
HMDB0000045,ACSL5,degrading,Experimental
HMDB0000220,ACSL5,degrading,Experimental
HMDB0000045,ACSL5,producing,Experimental
HMDB0001338,ACSL5,producing,Experimental
HMDB0000538,ACSL6,degrading,Experimental
HMDB0001423,ACSL6,degrading,Experimental
HMDB0000045,ACSL6,degrading,Experimental
HMDB0000220,ACSL6,degrading,Experimental
HMDB0000045,ACSL6,producing,Experimental
HMDB0001338,ACSL6,producing,Experimental
HMDB0000538,ACSM1,degrading,Experimental
HMDB0001423,ACSM1,degrading,Experimental
HMDB0000045,ACSM1,degrading,Experimental
HMDB0001273,ACSM1,degrading,Experimental
HMDB0000039,ACSM1,degrading,Experimental
HMDB0000045,ACSM1,producing,Experimental
HMDB0001088,ACSM1,producing,Experimental
HMDB0000538,ACSM3,degrading,Experimental
HMDB0001423,ACSM3,degrading,Experimental
HMDB0000045,ACSM3,degrading,Experimental
HMDB0000039,ACSM3,degrading,Experimental
HMDB0000045,ACSM3,producing,Experimental
HMDB0001088,ACSM3,producing,Experimental
HMDB0000538,ACSM4,degrading,Experimental
HMDB0001423,ACSM4,degrading,Experimental
HMDB0000045,ACSM4,degrading,Experimental
HMDB0000039,ACSM4,degrading,Experimental
HMDB0000045,ACSM4,producing,Experimental
HMDB0001088,ACSM4,producing,Experimental
HMDB0000538,ACSM5,degrading,Experimental
HMDB0001423,ACSM5,degrading,Experimental
HMDB0000045,ACSM5,degrading,Experimental
HMDB0000039,ACSM5,degrading,Experimental
HMDB0000045,ACSM5,producing,Experimental
HMDB0001088,ACSM5,producing,Experimental
HMDB0000538,ACSM6,degrading,Experimental
HMDB0001423,ACSM6,degrading,Experimental
HMDB0000045,ACSM6,degrading,Experimental
HMDB0000538,ACSS3,degrading,Experimental
HMDB0000042,ACSS3,degrading,Experimental
HMDB0001423,ACSS3,degrading,Experimental
HMDB0000045,ACSS3,producing,Experimental
HMDB0001206,ACSS3,producing,Experimental
HMDB0006806,ACSS3,degrading,Experimental
HMDB0001275,ACSS3,producing,Experimental
HMDB0000237,ACSS3,degrading,Experimental
HMDB0006806,ACSS3,producing,Experimental
HMDB0000042,ACY1,producing,Experimental
HMDB0000214,ACY1,producing,Experimental
HMDB0000191,ASPA,degrading,Experimental
HMDB0000812,ASPA,degrading,Experimental
HMDB0000042,ASPA,producing,Experimental
HMDB0000191,ASPA,producing,Experimental
HMDB0000142,ASPA,producing,Experimental
HMDB0000812,ACY3,degrading,Experimental
HMDB0000042,ACY3,producing,Experimental
HMDB0000191,ACY3,producing,Experimental
HMDB0000142,ACY3,producing,Experimental
HMDB0000042,ACYP1,producing,Experimental
HMDB0001870,ACYP1,producing,Experimental
HMDB0001270,ACYP1,degrading,Experimental
HMDB0000807,ACYP1,producing,Experimental
HMDB0000042,ACYP2,producing,Experimental
HMDB0001870,ACYP2,producing,Experimental
HMDB0001270,ACYP2,degrading,Experimental
HMDB0000807,ACYP2,producing,Experimental
HMDB0000050,ADA,degrading,Experimental
HMDB0000195,ADA,producing,Experimental
HMDB0000101,ADA,degrading,Experimental
HMDB0000071,ADA,producing,Experimental
