"","source","target","source_genesymbol","target_genesymbol","resource"
"85","P01889","P01732","HLA-B","CD8A","consensus"
"86","P01889","P04234","HLA-B","CD3D","consensus"
"87","P01889","P09693","HLA-B","CD3G","consensus"
"88","P01889","P10966","HLA-B","CD8B","consensus"
"89","P01889","P43628","HLA-B","KIR2DL3","consensus"
"90","P01889","P43629","HLA-B","KIR3DL1","consensus"
"91","P01889","P43630","HLA-B","KIR3DL2","consensus"
"92","P01889","Q13241","HLA-B","KLRD1","consensus"
"93","P01889","Q8N423","HLA-B","LILRB2","consensus"
"94","P01889","Q8NHL6","HLA-B","LILRB1","consensus"
"95","P01903","P01730","HLA-DRA","CD4","consensus"
"96","P01903","P18627","HLA-DRA","LAG3","consensus"
"97","P01906","P01730","HLA-DQA2","CD4","consensus"
"98","P01906","P18627","HLA-DQA2","LAG3","consensus"
"99","P01909","P01730","HLA-DQA1","CD4","consensus"
"100","P01909","P18627","HLA-DQA1","LAG3","consensus"
"101","P01911","P01730","HLA-DRB1","CD4","consensus"
"102","P01911","P18627","HLA-DRB1","LAG3","consensus"
"103","P01920","P01730","HLA-DQB1","CD4","consensus"
"104","P01920","P18627","HLA-DQB1","LAG3","consensus"
"105","P04083","COMPLEX:P25089_P25090","ANXA1","FPR2_FPR3","consensus"
"106","P04083","P00533","ANXA1","EGFR","consensus"
"107","P04083","P08913","ANXA1","ADRA2A","consensus"
"108","P04083","P21462","ANXA1","FPR1","consensus"
"109","P04083","P48039","ANXA1","MTNR1A","consensus"
"110","P04083","Q14831","ANXA1","GRM7","consensus"
"111","P04216","COMPLEX:P05106_P06756","THY1","ITGAV_ITGB3","consensus"
"112","P04216","COMPLEX:P05107_P11215","THY1","ITGAM_ITGB2","consensus"
"113","P04216","COMPLEX:P05107_P20702","THY1","ITGAX_ITGB2","consensus"
"114","P04439","A6NJW9","HLA-A","CD8B2","consensus"
"115","P04439","O75019","HLA-A","LILRA1","consensus"
"116","P04439","P01732","HLA-A","CD8A","consensus"
"117","P04439","P04234","HLA-A","CD3D","consensus"
"118","P04439","P04626","HLA-A","ERBB2","consensus"
"119","P04439","P09693","HLA-A","CD3G","consensus"
"120","P04439","P10966","HLA-A","CD8B","consensus"
"121","P04439","P43626","HLA-A","KIR2DL1","consensus"
"122","P04439","P43628","HLA-A","KIR2DL3","consensus"
"123","P04439","P43629","HLA-A","KIR3DL1","consensus"
"124","P04439","P43630","HLA-A","KIR3DL2","consensus"
"125","P04439","Q06481","HLA-A","APLP2","consensus"
"126","P04439","Q8N423","HLA-A","LILRB2","consensus"
"127","P04439","Q8NHL6","HLA-A","LILRB1","consensus"
"128","P04440","P01730","HLA-DPB1","CD4","consensus"
"129","P04440","P18627","HLA-DPB1","LAG3","consensus"
"130","P05067","O75509","APP","TNFRSF21","consensus"
"131","P05067","O75581","APP","LRP6","consensus"
"132","P05067","O95858","APP","TSPAN15","consensus"
"133","P05067","O95859","APP","TSPAN12","consensus"
"134","P05067","P04233","APP","CD74","consensus"
"135","P05067","P08138","APP","NGFR","consensus"
"136","P05067","P08865","APP","RPSA","consensus"
"137","P05067","P08913","APP","ADRA2A","consensus"
"138","P05067","P25090","APP","FPR2","consensus"
"139","P05067","P35052","APP","GPC1","consensus"
"140","P05067","P43116","APP","PTGER2","consensus"
"141","P05067","P43146","APP","DCC","consensus"
"142","P05067","P48039","APP","MTNR1A","consensus"
"143","P05067","P51693","APP","APLP1","consensus"
"144","P05067","P98155","APP","VLDLR","consensus"
"145","P05067","Q04721","APP","NOTCH2","consensus"
"146","P05067","Q06481","APP","APLP2","consensus"
"147","P05067","Q07954","APP","LRP1","consensus"
"148","P05067","Q14831","APP","GRM7","consensus"
"149","P05067","Q15109","APP","AGER","consensus"
"150","P05067","Q7Z4F1","APP","LRP10","consensus"
"151","P05067","Q92542","APP","NCSTN","consensus"
"152","P05107","P04216","ITGB2","THY1","consensus"
"153","P05107","Q15762","ITGB2","CD226","consensus"
"154","P05362","COMPLEX:P05107_P11215","ICAM1","ITGAM_ITGB2","consensus"
"155","P05362","COMPLEX:P05107_P20701","ICAM1","ITGAL_ITGB2","consensus"
"156","P05362","COMPLEX:P05107_P20702","ICAM1","ITGAX_ITGB2","consensus"
"157","P05362","P00533","ICAM1","EGFR","consensus"
"158","P05362","P01589","ICAM1","IL2RA","consensus"
"159","P05362","P15941","ICAM1","MUC1","consensus"
"160","P05362","P16150","ICAM1","SPN","consensus"
"161","P05362","P31785","ICAM1","IL2RG","consensus"
"162","P06239","COMPLEX:P01732_P10966","LCK","CD8A_CD8B","consensus"
"163","P06734","COMPLEX:P05106_P06756","FCER2","ITGAV_ITGB3","consensus"
"164","P06734","COMPLEX:P05107_P11215","FCER2","ITGAM_ITGB2","consensus"
"165","P06734","COMPLEX:P05107_P20702","FCER2","ITGAX_ITGB2","consensus"
"166","P06734","P20023","FCER2","CR2","consensus"
"167","P06756","P04216","ITGAV","THY1","consensus"
"168","P07355","O60603","ANXA2","TLR2","consensus"
"169","P07355","Q8WZ75","ANXA2","ROBO4","consensus"
"170","P07359","COMPLEX:P05107_P11215","GP1BA","ITGAM_ITGB2","consensus"
"171","P07996","COMPLEX:P05106_P06756","THBS1","ITGAV_ITGB3","consensus"
"172","P07996","COMPLEX:P05106_P08514","THBS1","ITGA2B_ITGB3","consensus"
"173","P07996","COMPLEX:P05556_P26006","THBS1","ITGA3_ITGB1","consensus"
"174","P07996","O00300","THBS1","TNFRSF11B","consensus"
"175","P07996","O75197","THBS1","LRP5","consensus"
"176","P07996","P13612","THBS1","ITGA4","consensus"
"177","P07996","P16671","THBS1","CD36","consensus"
"178","P07996","P18827","THBS1","SDC1","consensus"
"179","P07996","P23229","THBS1","ITGA6","consensus"
"180","P07996","Q07954","THBS1","LRP1","consensus"
"181","P07996","Q08722","THBS1","CD47","consensus"
"182","P07996","Q12913","THBS1","PTPRJ","consensus"
"183","P07996","Q8WTV0","THBS1","SCARB1","consensus"
"184","P08174","P17927","CD55","CR1","consensus"
"185","P08174","P48960","CD55","ADGRE5","consensus"
"186","P08174","Q9UHX3","CD55","ADGRE2","consensus"
"187","P08571","O00206","CD14","TLR4","consensus"
"188","P08571","P05107","CD14","ITGB2","consensus"
"189","P08571","P05556","CD14","ITGB1","consensus"
"190","P08571","P13612","CD14","ITGA4","consensus"
"191","P08571","Q15399","CD14","TLR1","consensus"
"192","P08571","Q9NR96","CD14","TLR9","consensus"
"193","P08571","Q9Y2C9","CD14","TLR6","consensus"
"194","P08582","P02786","MELTF","TFRC","consensus"
"195","P09326","P06729","CD48","CD2","consensus"
"196","P09326","Q9BZW8","CD48","CD244","consensus"
"197","P09603","P78324","CSF1","SIRPA","consensus"
"198","P09603","Q9NYQ7","CSF1","CELSR3","consensus"
"199","P10321","A6NJW9","HLA-C","CD8B2","consensus"
"200","P10321","O75019","HLA-C","LILRA1","consensus"
"201","P10321","P01732","HLA-C","CD8A","consensus"
"202","P10321","P04234","HLA-C","CD3D","consensus"
"203","P10321","P09693","HLA-C","CD3G","consensus"
"204","P10321","P10966","HLA-C","CD8B","consensus"
"205","P10321","P43626","HLA-C","KIR2DL1","consensus"
"206","P10321","P43627","HLA-C","KIR2DL2","consensus"
"207","P10321","P43628","HLA-C","KIR2DL3","consensus"
"208","P10321","P43629","HLA-C","KIR3DL1","consensus"
"209","P10321","P43632","HLA-C","KIR2DS4","consensus"
"210","P10321","Q14954","HLA-C","KIR2DS1","consensus"
"211","P10321","Q8N423","HLA-C","LILRB2","consensus"
"212","P10321","Q8N6C8","HLA-C","LILRA3","consensus"
"213","P10321","Q8N743","HLA-C","KIR3DL3","consensus"
"214","P10321","Q8NHL6","HLA-C","LILRB1","consensus"
"215","P10321","Q99466","HLA-C","NOTCH4","consensus"
"216","P10600","COMPLEX:P36896_P37173","TGFB3","ACVR1B_TGFBR2","consensus"
"217","P10600","COMPLEX:P36897_P37173","TGFB3","TGFBR1_TGFBR2","consensus"
"218","P10600","COMPLEX:P36897_P37173_Q04771","TGFB3","ACVR1_TGFBR1_TGFBR2","consensus"
"219","P10600","COMPLEX:P37173_Q04771","TGFB3","ACVR1_TGFBR2","consensus"
"220","P10600","COMPLEX:P37173_Q8NER5","TGFB3","ACVR1C_TGFBR2","consensus"
"221","P10600","P05106","TGFB3","ITGB3","consensus"
"222","P10600","P05556","TGFB3","ITGB1","consensus"
"223","P10600","P18084","TGFB3","ITGB5","consensus"
"224","P10600","P18564","TGFB3","ITGB6","consensus"
"225","P10600","P37023","TGFB3","ACVRL1","consensus"
"226","P10600","Q03167","TGFB3","TGFBR3","consensus"
"227","P10747","P33681","CD28","CD80","consensus"
"228","P10747","P42081","CD28","CD86","consensus"
"229","P12821","P30411","ACE","BDKRB2","consensus"
"230","P12821","P50052","ACE","AGTR2","consensus"
"231","P12830","COMPLEX:P05556_P17301","CDH1","ITGA2_ITGB1","consensus"
"232","P12830","COMPLEX:P26010_P38570","CDH1","ITGAE_ITGB7","consensus"
"233","P12830","O75197","CDH1","LRP5","consensus"
"234","P12830","P00533","CDH1","EGFR","consensus"
"235","P12830","P08069","CDH1","IGF1R","consensus"
"236","P12830","P10586","CDH1","PTPRF","consensus"
"237","P12830","P19022","CDH1","CDH2","consensus"
"238","P12830","P21860","CDH1","ERBB3","consensus"
"239","P12830","P28827","CDH1","PTPRM","consensus"
"240","P12830","Q96E93","CDH1","KLRG1","consensus"
"241","P13385","P27037","TDGF1","ACVR2A","consensus"
"242","P13385","P35052","TDGF1","GPC1","consensus"
"243","P13385","P36896","TDGF1","ACVR1B","consensus"
"244","P13385","Q13705","TDGF1","ACVR2B","consensus"
"245","P13385","Q8NER5","TDGF1","ACVR1C","consensus"
"246","P13591","O15394","NCAM1","NCAM2","consensus"
"247","P13591","P11362","NCAM1","FGFR1","consensus"
"248","P13591","P21802","NCAM1","FGFR2","consensus"
"249","P13591","P23471","NCAM1","PTPRZ1","consensus"
"250","P13591","P56159","NCAM1","GFRA1","consensus"
"251","P13591","Q96MS0","NCAM1","ROBO3","consensus"
"252","P13591","Q9Y6N7","NCAM1","ROBO1","consensus"
"253","P13598","COMPLEX:P05107_P11215","ICAM2","ITGAM_ITGB2","consensus"
"254","P13598","COMPLEX:P05107_P20701","ICAM2","ITGAL_ITGB2","consensus"
"255","P13688","P00533","CEACAM1","EGFR","consensus"
"256","P13688","Q8TDQ0","CEACAM1","HAVCR2","consensus"
"257","P13747","A6NJW9","HLA-E","CD8B2","consensus"
"258","P13747","COMPLEX:P26715_Q13241","HLA-E","KLRC1_KLRD1","consensus"
"259","P13747","COMPLEX:P26717_Q13241","HLA-E","KLRC2_KLRD1","consensus"
"260","P13747","COMPLEX:Q07444_Q13241","HLA-E","KLRC3_KLRD1","consensus"
"261","P13747","P01732","HLA-E","CD8A","consensus"
"262","P13747","P10966","HLA-E","CD8B","consensus"
"263","P13747","P26718","HLA-E","KLRK1","consensus"
"264","P13747","P43629","HLA-E","KIR3DL1","consensus"
"265","P13762","P01730","HLA-DRB4","CD4","consensus"
"266","P13762","P18627","HLA-DRB4","LAG3","consensus"
"267","P13765","P01730","HLA-DOB","CD4","consensus"
"268","P14151","O00592","SELL","PODXL","consensus"
"269","P14151","Q13477","SELL","MADCAM1","consensus"
"270","P14209","P60033","CD99","CD81","consensus"
"271","P14209","Q8TCZ2","CD99","CD99L2","consensus"
"272","P14209","Q9UKJ0","CD99","PILRB","consensus"
"273","P14209","Q9UKJ1","CD99","PILRA","consensus"
"274","P14555","P05106","PLA2G2A","ITGB3","consensus"
"275","P14555","P05556","PLA2G2A","ITGB1","consensus"
"276","P14555","P06756","PLA2G2A","ITGAV","consensus"
"277","P14555","P08648","PLA2G2A","ITGA5","consensus"
"278","P14555","P13612","PLA2G2A","ITGA4","consensus"
"279","P15813","Q8N423","CD1D","LILRB2","consensus"
"280","P15907","P00533","ST6GAL1","EGFR","consensus"
"281","P15907","P20273","ST6GAL1","CD22","consensus"
"282","P16150","Q9BZZ2","SPN","SIGLEC1","consensus"
"283","P16581","P13688","SELE","CEACAM1","consensus"
"284","P16581","P16070","SELE","CD44","consensus"
"285","P16581","Q92896","SELE","GLG1","consensus"
"286","P17693","A6NJW9","HLA-G","CD8B2","consensus"
"287","P17693","P01730","HLA-G","CD4","consensus"
"288","P17693","P01732","HLA-G","CD8A","consensus"
"289","P17693","P10966","HLA-G","CD8B","consensus"
"290","P17693","P26715","HLA-G","KLRC1","consensus"
"291","P17693","P43629","HLA-G","KIR3DL1","consensus"
"292","P17693","Q13241","HLA-G","KLRD1","consensus"
"293","P17693","Q8N423","HLA-G","LILRB2","consensus"
"294","P17693","Q8NHL6","HLA-G","LILRB1","consensus"
"295","P17693","Q99706","HLA-G","KIR2DL4","consensus"
"296","P19256","P06729","CD58","CD2","consensus"
"297","P19320","COMPLEX:P05107_Q13349","VCAM1","ITGAD_ITGB2","consensus"
"298","P19320","COMPLEX:P05556_P13612","VCAM1","ITGA4_ITGB1","consensus"
"299","P19320","COMPLEX:P05556_Q13797","VCAM1","ITGA9_ITGB1","consensus"
"300","P19320","COMPLEX:P13612_P26010","VCAM1","ITGA4_ITGB7","consensus"
"301","P20036","P01730","HLA-DPA1","CD4","consensus"
"302","P20036","P18627","HLA-DPA1","LAG3","consensus"
"303","P20273","P08575","CD22","PTPRC","consensus"
"304","P20827","O15197","EFNA1","EPHB6","consensus"
"305","P20827","P21709","EFNA1","EPHA1","consensus"
"306","P20827","P29317","EFNA1","EPHA2","consensus"
"307","P20827","P29320","EFNA1","EPHA3","consensus"
"308","P20827","P29322","EFNA1","EPHA8","consensus"
"309","P20827","P54756","EFNA1","EPHA5","consensus"
"310","P20827","P54762","EFNA1","EPHB1","consensus"
"311","P20827","P54764","EFNA1","EPHA4","consensus"
"312","P20827","Q15375","EFNA1","EPHA7","consensus"
"313","P20827","Q5JZY3","EFNA1","EPHA10","consensus"
"314","P20827","Q9UF33","EFNA1","EPHA6","consensus"
"315","P21583","P10721","KITLG","KIT","consensus"
"316","P21583","P19235","KITLG","EPOR","consensus"
"317","P22897","P08575","MRC1","PTPRC","consensus"
"318","P25189","O95297","MPZ","MPZL1","consensus"
"319","P28067","P01730","HLA-DMA","CD4","consensus"
"320","P28068","P01730","HLA-DMB","CD4","consensus"
"321","P28906","P14151","CD34","SELL","consensus"
"322","P28906","P16109","CD34","SELP","consensus"
"323","P29965","COMPLEX:P05106_P08514","CD40LG","ITGA2B_ITGB3","consensus"
"324","P29965","COMPLEX:P05107_P11215","CD40LG","ITGAM_ITGB2","consensus"
"325","P29965","COMPLEX:P05556_P08648","CD40LG","ITGA5_ITGB1","consensus"
"326","P29965","P25942","CD40LG","CD40","consensus"
"327","P30511","A6NJW9","HLA-F","CD8B2","consensus"
"328","P30511","P01732","HLA-F","CD8A","consensus"
"329","P30511","P10966","HLA-F","CD8B","consensus"
"330","P30511","P43629","HLA-F","KIR3DL1","consensus"
"331","P30511","P43630","HLA-F","KIR3DL2","consensus"
"332","P30511","Q14943","HLA-F","KIR3DS1","consensus"
"333","P30511","Q8N423","HLA-F","LILRB2","consensus"
"334","P30511","Q8NHL6","HLA-F","LILRB1","consensus"
"335","P31997","P13688","CEACAM8","CEACAM1","consensus"
"336","P32004","COMPLEX:P05106_P06756","L1CAM","ITGAV_ITGB3","consensus"
"337","P32004","COMPLEX:P05556_P08648","L1CAM","ITGA5_ITGB1","consensus"
"338","P32004","COMPLEX:P13612_P26010","L1CAM","ITGA4_ITGB7","consensus"
"339","P32004","P00533","L1CAM","EGFR","consensus"
"340","P32004","P04626","L1CAM","ERBB2","consensus"
"341","P32004","P21802","L1CAM","FGFR2","consensus"
"342","P32004","P21860","L1CAM","ERBB3","consensus"
"343","P32004","P23471","L1CAM","PTPRZ1","consensus"
"344","P32004","P29323","L1CAM","EPHB2","consensus"
"345","P32004","Q12860","L1CAM","CNTN1","consensus"
"346","P32942","COMPLEX:P05107_Q13349","ICAM3","ITGAD_ITGB2","consensus"
"347","P32942","P20701","ICAM3","ITGAL","consensus"
"348","P32942","Q9H2X3","ICAM3","CLEC4M","consensus"
"349","P33681","P10747","CD80","CD28","consensus"
"350","P33681","P16410","CD80","CTLA4","consensus"
"351","P34741","Q12913","SDC2","PTPRJ","consensus"
"352","P35070","COMPLEX:P00533_P04626","BTC","EGFR_ERBB2","consensus"
"353","P35070","COMPLEX:P04626_Q15303","BTC","ERBB2_ERBB4","consensus"
"354","P35070","P21860","BTC","ERBB3","consensus"
"355","P40199","P00533","CEACAM6","EGFR","consensus"
"356","P40199","P13688","CEACAM6","CEACAM1","consensus"
"357","P40200","P15151","CD96","PVR","consensus"
"358","P40200","Q15223","CD96","NECTIN1","consensus"
"359","P41217","Q6Q8B3","CD200","CD200R1L","consensus"
"360","P41217","Q8TD46","CD200","CD200R1","consensus"
"361","P41273","P15151","TNFSF9","PVR","consensus"
"362","P41273","P20036","TNFSF9","HLA-DPA1","consensus"
"363","P41273","Q07011","TNFSF9","TNFRSF9","consensus"
"364","P41273","Q14627","TNFSF9","IL13RA2","consensus"
"365","P41273","Q8IZF4","TNFSF9","ADGRG5","consensus"
"366","P42081","P10747","CD86","CD28","consensus"
"367","P42081","P16410","CD86","CTLA4","consensus"
"368","P43026","COMPLEX:O00238_P27037","GDF5","ACVR2A_BMPR1B","consensus"
"369","P43026","COMPLEX:O00238_Q13705","GDF5","ACVR2B_BMPR1B","consensus"
"370","P43026","COMPLEX:O00238_Q13873","GDF5","BMPR1B_BMPR2","consensus"
"371","P43026","COMPLEX:P27037_P36894","GDF5","ACVR2A_BMPR1A","consensus"
"372","P43026","COMPLEX:P36894_Q13705","GDF5","ACVR2B_BMPR1A","consensus"
"373","P43026","COMPLEX:P36894_Q13873","GDF5","BMPR1A_BMPR2","consensus"
"374","P43026","Q01974","GDF5","ROR2","consensus"
"375","P43026","Q04771","GDF5","ACVR1","consensus"
"376","P46379","O14931","BAG6","NCR3","consensus"
"377","P48023","O14763","FASLG","TNFRSF10B","consensus"
"378","P48023","O95407","FASLG","TNFRSF6B","consensus"
"379","P48023","P19438","FASLG","TNFRSF1A","consensus"
"380","P48023","P25445","FASLG","FAS","consensus"
"381","P49771","P36888","FLT3LG","FLT3","consensus"
"382","P50591","O00220","TNFSF10","TNFRSF10A","consensus"
"383","P50591","O00300","TNFSF10","TNFRSF11B","consensus"
"384","P50591","O14763","TNFSF10","TNFRSF10B","consensus"
"385","P50591","Q9UBN6","TNFSF10","TNFRSF10D","consensus"
"386","P52798","P21709","EFNA4","EPHA1","consensus"
"387","P52798","P29317","EFNA4","EPHA2","consensus"
"388","P52798","P29320","EFNA4","EPHA3","consensus"
"389","P52798","P29322","EFNA4","EPHA8","consensus"
"390","P52798","P54756","EFNA4","EPHA5","consensus"
"391","P52798","P54764","EFNA4","EPHA4","consensus"
"392","P52798","Q15375","EFNA4","EPHA7","consensus"
"393","P52798","Q5JZY3","EFNA4","EPHA10","consensus"
"394","P52798","Q9UF33","EFNA4","EPHA6","consensus"
"395","P52799","O15197","EFNB2","EPHB6","consensus"
"396","P52799","P16284","EFNB2","PECAM1","consensus"
"397","P52799","P29320","EFNB2","EPHA3","consensus"
"398","P52799","P29323","EFNB2","EPHB2","consensus"
"399","P52799","P41594","EFNB2","GRM5","consensus"
"400","P52799","P54753","EFNB2","EPHB3","consensus"
"401","P52799","P54760","EFNB2","EPHB4","consensus"
"402","P52799","P54762","EFNB2","EPHB1","consensus"
"403","P52799","P54764","EFNB2","EPHA4","consensus"
"404","P52799","Q13255","EFNB2","GRM1","consensus"
"405","P52799","Q9UF33","EFNB2","EPHA6","consensus"
"406","P52803","O15197","EFNA5","EPHB6","consensus"
"407","P52803","P21709","EFNA5","EPHA1","consensus"
"408","P52803","P29317","EFNA5","EPHA2","consensus"
"409","P52803","P29320","EFNA5","EPHA3","consensus"
"410","P52803","P29322","EFNA5","EPHA8","consensus"
"411","P52803","P29323","EFNA5","EPHB2","consensus"
"412","P52803","P54756","EFNA5","EPHA5","consensus"
"413","P52803","P54762","EFNA5","EPHB1","consensus"
"414","P52803","P54764","EFNA5","EPHA4","consensus"
"415","P52803","Q15375","EFNA5","EPHA7","consensus"
"416","P52803","Q5JZY3","EFNA5","EPHA10","consensus"
"417","P52803","Q9UF33","EFNA5","EPHA6","consensus"
"418","P56975","COMPLEX:P04626_Q15303","NRG3","ERBB2_ERBB4","consensus"
"419","P56975","P21860","NRG3","ERBB3","consensus"
"420","P57087","COMPLEX:P05556_P06756","JAM2","ITGAV_ITGB1","consensus"
"421","P57087","COMPLEX:P05556_P13612","JAM2","ITGA4_ITGB1","consensus"
"422","P57087","COMPLEX:P05556_P26006","JAM2","ITGA3_ITGB1","consensus"
"423","P58400","Q8N2Q7","NRXN1","NLGN1","consensus"
"424","P58400","Q8NFZ4","NRXN1","NLGN2","consensus"
"425","P58400","Q9NZ94","NRXN1","NLGN3","consensus"
"426","P58401","Q8N2Q7","NRXN2","NLGN1","consensus"
"427","P58401","Q8NFZ4","NRXN2","NLGN2","consensus"
"428","P58401","Q9NZ94","NRXN2","NLGN3","consensus"
"429","P61769","P02786","B2M","TFRC","consensus"
"430","P61769","P04234","B2M","CD3D","consensus"
"431","P61769","P06126","B2M","CD1A","consensus"
"432","P61769","P09693","B2M","CD3G","consensus"
"433","P61769","P20963","B2M","CD247","consensus"
"434","P61769","P26715","B2M","KLRC1","consensus"
"435","P61769","P26717","B2M","KLRC2","consensus"
"436","P61769","P43626","B2M","KIR2DL1","consensus"
"437","P61769","P43628","B2M","KIR2DL3","consensus"
"438","P61769","P43629","B2M","KIR3DL1","consensus"
"439","P61769","Q13241","B2M","KLRD1","consensus"
"440","P61769","Q8N423","B2M","LILRB2","consensus"
"441","P61769","Q8NHL6","B2M","LILRB1","consensus"
"442","P78310","Q86YT9","CXADR","JAML","consensus"
"443","P78324","Q08722","SIRPA","CD47","consensus"
"444","P78504","P15529","JAG1","CD46","consensus"
"445","P78504","P46531","JAG1","NOTCH1","consensus"
"446","P78504","Q04721","JAG1","NOTCH2","consensus"
"447","P78504","Q99466","JAG1","NOTCH4","consensus"
"448","P78504","Q9UM47","JAG1","NOTCH3","consensus"
"449","P78536","P05556","ADAM17","ITGB1","consensus"
"450","P78536","P08581","ADAM17","MET","consensus"
"451","P78536","P08648","ADAM17","ITGA5","consensus"
"452","P78536","P08887","ADAM17","IL6R","consensus"
"453","P78536","P15941","ADAM17","MUC1","consensus"
"454","P78536","P46531","ADAM17","NOTCH1","consensus"
"455","P78536","Q15303","ADAM17","ERBB4","consensus"
"456","P78536","Q6PJF5","ADAM17","RHBDF2","consensus"
