"","source","target","source_genesymbol","target_genesymbol","resource"
"1","O00182","P08575","LGALS9","PTPRC","consensus"
"2","O00182","P08581","LGALS9","MET","consensus"
"3","O00182","P16070","LGALS9","CD44","consensus"
"4","O00182","Q07954","LGALS9","LRP1","consensus"
"5","O00182","Q08722","LGALS9","CD47","consensus"
"6","O00182","Q15262","LGALS9","PTPRK","consensus"
"7","O00182","Q5KU26","LGALS9","COLEC12","consensus"
"8","O00182","Q8TDQ0","LGALS9","HAVCR2","consensus"
"9","O00182","Q9UBG0","LGALS9","MRC2","consensus"
"10","O00548","P46531","DLL1","NOTCH1","consensus"
"11","O00548","Q04721","DLL1","NOTCH2","consensus"
"12","O00548","Q99466","DLL1","NOTCH4","consensus"
"13","O00548","Q9UM47","DLL1","NOTCH3","consensus"
"14","O00592","P14151","PODXL","SELL","consensus"
"15","O14511","COMPLEX:P04626_P21860","NRG2","ERBB2_ERBB3","consensus"
"16","O14511","COMPLEX:P04626_Q15303","NRG2","ERBB2_ERBB4","consensus"
"17","O14514","Q9BZR6","ADGRB1","RTN4R","consensus"
"18","O14672","O95858","ADAM10","TSPAN15","consensus"
"19","O14672","O95859","ADAM10","TSPAN12","consensus"
"20","O14672","P08581","ADAM10","MET","consensus"
"21","O14672","P08887","ADAM10","IL6R","consensus"
"22","O14672","P16070","ADAM10","CD44","consensus"
"23","O14672","P29320","ADAM10","EPHA3","consensus"
"24","O14672","P30530","ADAM10","AXL","consensus"
"25","O14672","P46531","ADAM10","NOTCH1","consensus"
"26","O14672","Q04721","ADAM10","NOTCH2","consensus"
"27","O14672","Q92823","ADAM10","NRCAM","consensus"
"28","O14672","Q96FV3","ADAM10","TSPAN17","consensus"
"29","O14672","Q9H1Z9","ADAM10","TSPAN10","consensus"
"30","O14672","Q9NZC2","ADAM10","TREM2","consensus"
"31","O14788","O00300","TNFSF11","TNFRSF11B","consensus"
"32","O14788","Q9BXB1","TNFSF11","LGR4","consensus"
"33","O14788","Q9Y6Q6","TNFSF11","TNFRSF11A","consensus"
"34","O14944","COMPLEX:P00533_P04626","EREG","EGFR_ERBB2","consensus"
"35","O14944","COMPLEX:P04626_Q15303","EREG","ERBB2_ERBB4","consensus"
"36","O14944","P21860","EREG","ERBB3","consensus"
"37","O43184","P05556","ADAM12","ITGB1","consensus"
"38","O43184","Q13797","ADAM12","ITGA9","consensus"
"39","O43508","P28908","TNFSF12","TNFRSF8","consensus"
"40","O43508","Q86VB7","TNFSF12","CD163","consensus"
"41","O43508","Q93038","TNFSF12","TNFRSF25","consensus"
"42","O43508","Q9NP84","TNFSF12","TNFRSF12A","consensus"
"43","O43557","O95407","TNFSF14","TNFRSF6B","consensus"
"44","O43557","P36941","TNFSF14","LTBR","consensus"
"45","O43557","Q92956","TNFSF14","TNFRSF14","consensus"
"46","O75077","P05106","ADAM23","ITGB3","consensus"
"47","O75077","P08648","ADAM23","ITGA5","consensus"
"48","O75077","P13612","ADAM23","ITGA4","consensus"
"49","O75078","P13612","ADAM11","ITGA4","consensus"
"50","O75144","P10747","ICOSLG","CD28","consensus"
"51","O75144","P16410","ICOSLG","CTLA4","consensus"
"52","O75144","Q9Y6W8","ICOSLG","ICOS","consensus"
"53","O75326","COMPLEX:P05556_P56199","SEMA7A","ITGA1_ITGB1","consensus"
"54","O75326","O60486","SEMA7A","PLXNC1","consensus"
"55","O75888","O00300","TNFSF13","TNFRSF11B","consensus"
"56","O75888","O14836","TNFSF13","TNFRSF13B","consensus"
"57","O75888","P19438","TNFSF13","TNFRSF1A","consensus"
"58","O75888","P25445","TNFSF13","FAS","consensus"
"59","O75888","P34741","TNFSF13","SDC2","consensus"
"60","O75888","Q02223","TNFSF13","TNFRSF17","consensus"
"61","O75888","Q92956","TNFSF13","TNFRSF14","consensus"
"62","O94856","COMPLEX:P78357_Q12860","NFASC","CNTN1_CNTNAP1","consensus"
"63","O94933","P23468","SLITRK3","PTPRD","consensus"
"64","O94933","Q13332","SLITRK3","PTPRS","consensus"
"65","O94991","P23468","SLITRK5","PTPRD","consensus"
"66","O95150","O95407","TNFSF15","TNFRSF6B","consensus"
"67","O95150","Q93038","TNFSF15","TNFRSF25","consensus"
"68","P01135","COMPLEX:P00533_P04626","TGFA","EGFR_ERBB2","consensus"
"69","P01135","P21860","TGFA","ERBB3","consensus"
"70","P01135","Q15303","TGFA","ERBB4","consensus"
"71","P01375","O15552","TNF","FFAR2","consensus"
"72","P01375","O75509","TNF","TNFRSF21","consensus"
"73","P01375","P19438","TNF","TNFRSF1A","consensus"
"74","P01375","P20333","TNF","TNFRSF1B","consensus"
"75","P01375","P25445","TNF","FAS","consensus"
"76","P01375","P35916","TNF","FLT4","consensus"
"77","P01375","P46531","TNF","NOTCH1","consensus"
"78","P01375","Q13332","TNF","PTPRS","consensus"
"79","P01375","Q9C0C4","TNF","SEMA4C","consensus"
"80","P01375","Q9H7M9","TNF","VSIR","consensus"
"81","P01375","Q9HCU4","TNF","CELSR2","consensus"
"82","P01375","Q9Y6W8","TNF","ICOS","consensus"
"83","P01889","A6NJW9","HLA-B","CD8B2","consensus"
"84","P01889","O75019","HLA-B","LILRA1","consensus"
